vehicle_id,now_avg_kmpl,now_avg_kmpl_inv,now_total_fuel_cost_inr,now_avg_co2_kg,future_avg_kmpl,future_avg_kmpl_inv,future_total_fuel_cost_inr,future_avg_co2_kg
VEH-00040,14.82,0.0675,434251.39,3.04,13.17,0.0759,497327.78,3.19
VEH-00041,17.72,0.0564,204931.55,2.49,15.86,0.0631,236924.34,2.92
VEH-00042,17.13,0.0584,276728.21,2.75,15.29,0.0654,342865.0,3.05
VEH-00043,16.71,0.0598,415876.36,3.22,14.72,0.0679,474021.48,3.55
VEH-00044,18.99,0.0527,64942.91,2.07,17.95,0.0557,75601.62,2.3
VEH-00045,14.52,0.0689,648863.7,4.14,13.27,0.0754,715362.79,4.55
VEH-00046,14.73,0.0679,556292.55,3.52,14.07,0.0711,661870.13,3.9
VEH-00047,13.01,0.0769,760972.03,4.14,12.12,0.0825,902541.42,4.88
VEH-00048,10.51,0.0951,1240805.49,4.59,9.13,0.1095,1393040.98,5.42
VEH-00049,16.32,0.0613,427903.89,3.65,15.58,0.0642,508723.59,4.28
VEH-00050,13.92,0.0718,891656.89,4.72,13.12,0.0762,1103647.89,5.53
VEH-00051,16.84,0.0594,330581.88,2.9,16.08,0.0622,395144.78,3.26
VEH-00052,18.25,0.0548,220562.47,2.62,16.57,0.0604,265771.1,2.79
VEH-00053,9.22,0.1085,1393201.81,4.36,8.66,0.1155,1529121.66,4.76
VEH-00054,18.41,0.0543,240949.92,2.87,16.8,0.0595,284775.95,3.28
VEH-00055,16.02,0.0624,420538.65,3.1,15.28,0.0654,506642.9,3.33
VEH-00056,16.44,0.0608,198061.14,2.28,15.87,0.063,218342.93,2.57
VEH-00057,13.34,0.075,634014.88,3.43,11.97,0.0835,748651.68,3.9
VEH-00058,15.94,0.0627,566358.34,3.91,15.14,0.0661,701948.4,4.5
VEH-00059,16.7,0.0599,339527.8,3.04,15.88,0.063,394351.01,3.31
VEH-00060,14.62,0.0684,485594.83,3.5,13.27,0.0754,570317.08,3.85
VEH-00061,14.44,0.0693,485343.8,3.43,12.85,0.0778,554172.93,3.9
VEH-00062,14.63,0.0684,404067.94,2.9,13.04,0.0767,475781.8,3.31
VEH-00063,15.17,0.0659,586447.25,3.63,13.91,0.0719,655633.41,3.87
VEH-00064,18.14,0.0551,211316.64,2.66,16.7,0.0599,229786.44,2.81
VEH-00065,18.19,0.055,262371.09,2.84,16.54,0.0605,298562.22,3.05
VEH-00066,12.75,0.0784,786916.3,4.11,10.76,0.0929,959479.78,4.7
VEH-00067,14.99,0.0667,447230.05,3.06,13.03,0.0767,523699.86,3.51
VEH-00068,16.1,0.0621,262457.52,2.63,15.03,0.0665,286811.93,2.83
VEH-00069,16.58,0.0603,382157.33,3.26,14.95,0.0669,472638.15,3.65
VEH-00070,14.17,0.0706,496224.64,3.5,12.43,0.0805,594197.02,4.02
VEH-00071,15.88,0.063,367357.63,2.98,14.13,0.0708,398399.42,3.34
VEH-00072,12.9,0.0775,548263.58,3.43,11.28,0.0887,604052.99,4.1
VEH-00073,13.2,0.0758,808543.03,3.97,11.62,0.0861,1000776.79,4.55
VEH-00074,17.67,0.0566,253023.38,2.94,16.97,0.0589,279915.76,3.39
VEH-00075,16.5,0.0606,328765.8,3.01,14.62,0.0684,360597.01,3.6
VEH-00076,14.23,0.0703,531306.67,3.96,12.6,0.0794,608342.06,4.34
VEH-00077,17.79,0.0562,183351.05,2.55,15.91,0.0629,214103.04,2.75
VEH-00078,18.25,0.0548,215412.16,2.77,16.79,0.0596,258536.11,3.2
VEH-00079,16.77,0.0596,393601.14,3.16,14.99,0.0667,441020.55,3.42
VEH-00080,15.03,0.0665,681400.71,4.52,13.6,0.0735,782293.88,5.01
VEH-00081,17.59,0.0569,221319.99,2.56,16.54,0.0605,249923.72,2.99
VEH-00082,13.29,0.0752,772361.14,3.91,12.33,0.0811,871032.72,4.15
VEH-00083,12.07,0.0829,780534.99,3.76,10.53,0.095,955000.66,4.47
VEH-00084,15.89,0.0629,189492.29,2.31,14.0,0.0714,217996.2,2.61
VEH-00085,14.71,0.068,494053.7,3.13,13.13,0.0762,614800.33,3.32
VEH-00086,15.46,0.0647,449176.93,3.86,14.33,0.0698,529575.99,4.56
VEH-00087,15.06,0.0664,563874.13,3.71,13.45,0.0743,671759.05,4.09
VEH-00088,14.34,0.0697,599821.48,3.54,13.08,0.0765,706730.39,3.79
VEH-00089,16.04,0.0623,369642.86,3.33,14.82,0.0675,407857.97,3.82
VEH-00090,18.44,0.0542,44242.62,2.25,17.06,0.0586,48416.31,2.66
VEH-00091,17.21,0.0581,251345.65,2.94,15.36,0.0651,310527.72,3.52
VEH-00092,15.48,0.0646,551439.79,3.92,14.01,0.0714,635199.94,4.29
VEH-00093,14.48,0.0691,419576.07,3.22,12.61,0.0793,487043.36,3.63
VEH-00094,12.92,0.0774,508032.89,2.95,11.98,0.0835,625232.79,3.51
VEH-00095,14.13,0.0708,374346.57,2.99,13.34,0.075,461261.98,3.19
VEH-00096,13.16,0.076,572752.91,3.42,12.11,0.0826,620984.22,3.91
VEH-00097,15.52,0.0644,475596.26,3.33,13.94,0.0717,525819.53,3.65
VEH-00098,8.7,0.1149,1522836.01,4.74,7.29,0.1372,1828113.41,5.41
VEH-00099,15.44,0.0648,412538.75,3.54,13.54,0.0739,449388.82,4.23
VEH-00100,15.37,0.0651,360226.56,2.59,14.74,0.0678,444774.39,2.9
VEH-00101,16.15,0.0619,297354.88,2.81,14.47,0.0691,360841.33,3.03
VEH-00102,17.56,0.0569,257098.35,2.72,16.92,0.0591,289095.98,3.1
VEH-00103,15.45,0.0647,519530.72,3.52,13.62,0.0734,587258.0,4.08
VEH-00104,13.25,0.0755,671403.62,4.02,11.97,0.0835,743863.09,4.78
VEH-00105,16.79,0.0596,103245.15,2.21,16.16,0.0619,126875.33,2.64
VEH-00106,12.96,0.0772,509371.15,3.24,11.24,0.089,593588.2,3.45
VEH-00107,15.55,0.0643,392178.96,2.75,14.28,0.07,432895.83,3.12
VEH-00108,16.24,0.0616,466307.4,3.69,14.67,0.0682,523629.0,4.29
VEH-00109,14.63,0.0684,432367.56,2.95,13.23,0.0756,480495.68,3.32
VEH-00110,15.81,0.0633,184833.86,2.28,15.17,0.0659,223816.09,2.61
VEH-00111,12.98,0.077,737151.2,4.06,11.76,0.085,867081.43,4.7
VEH-00112,16.2,0.0617,575641.64,3.67,14.69,0.0681,641238.08,4.14
VEH-00113,14.39,0.0695,607894.77,3.88,13.67,0.0732,719517.68,4.32
VEH-00114,17.0,0.0588,143698.6,2.3,16.47,0.0607,168955.01,2.71
VEH-00115,13.9,0.0719,606392.56,3.7,12.74,0.0785,740215.02,3.96
VEH-00116,16.77,0.0596,227755.63,2.88,16.11,0.0621,251979.45,3.11
VEH-00117,15.43,0.0648,319708.85,3.05,13.78,0.0726,385078.88,3.54
VEH-00118,13.97,0.0716,570377.92,3.33,12.48,0.0801,634164.13,3.64
VEH-00119,15.63,0.064,318345.39,2.72,14.71,0.068,353827.34,2.95
VEH-00120,13.88,0.072,592193.36,3.59,12.35,0.081,706534.38,4.12
VEH-00121,15.51,0.0645,313429.67,2.78,13.54,0.0739,352787.75,3.32
VEH-00122,16.27,0.0615,256858.16,2.87,15.31,0.0653,311319.2,3.09
VEH-00123,17.97,0.0556,175697.95,2.2,17.28,0.0579,196992.77,2.44
VEH-00124,18.03,0.0555,170716.64,2.02,16.58,0.0603,200372.82,2.18
VEH-00125,16.17,0.0618,148202.66,2.36,14.52,0.0689,163492.49,2.67
VEH-00126,14.2,0.0704,487784.39,3.18,13.23,0.0756,590168.1,3.8
VEH-00127,16.51,0.0606,92127.47,2.18,15.71,0.0637,100816.73,2.35
VEH-00128,15.29,0.0654,476504.06,3.61,13.8,0.0725,552546.43,4.06
VEH-00129,15.34,0.0652,678824.11,3.95,13.49,0.0741,840054.11,4.67
VEH-00130,16.73,0.0598,423471.97,3.29,14.87,0.0672,482934.74,3.6
VEH-00131,18.75,0.0533,195871.61,2.53,17.44,0.0573,229287.88,2.89
VEH-00132,15.81,0.0633,221459.9,2.73,14.91,0.0671,269719.29,3.22
VEH-00133,13.27,0.0754,778376.3,4.04,11.96,0.0836,934621.7,4.48
VEH-00134,13.61,0.0735,542472.3,3.31,12.9,0.0775,620526.97,3.66
VEH-00135,18.0,0.0556,123740.8,2.2,17.19,0.0582,138448.48,2.55
VEH-00136,17.48,0.0572,46746.26,1.88,16.48,0.0607,52040.74,2.0
VEH-00137,16.67,0.06,244433.79,2.85,15.0,0.0667,291547.24,3.18
VEH-00138,18.93,0.0528,52482.26,2.01,17.03,0.0587,57790.66,2.36
VEH-00139,16.24,0.0616,331078.17,2.81,14.85,0.0673,360126.79,3.26
VEH-00140,13.42,0.0745,516093.66,3.24,11.84,0.0845,558639.68,3.44
VEH-00141,13.63,0.0734,529221.34,3.3,12.67,0.0789,585918.33,3.73
VEH-00142,16.64,0.0601,378257.68,3.0,15.99,0.0625,454594.08,3.4
VEH-00143,14.51,0.0689,492263.79,3.66,13.37,0.0748,553984.56,4.14
VEH-00144,13.97,0.0716,414969.65,3.34,12.52,0.0799,456112.78,3.84
VEH-00145,15.07,0.0664,553636.31,3.6,13.81,0.0724,691776.51,3.83
VEH-00146,16.27,0.0615,221307.14,2.69,15.75,0.0635,242177.34,2.92
VEH-00147,12.63,0.0792,832869.85,4.37,11.0,0.0909,923615.95,4.84
VEH-00148,15.97,0.0626,411089.31,3.38,15.29,0.0654,500939.63,3.69
VEH-00149,18.5,0.0541,208249.91,2.7,16.8,0.0595,242960.93,3.04
VEH-00150,14.68,0.0681,434692.38,3.59,13.15,0.076,541853.81,4.28
VEH-00151,13.85,0.0722,488521.95,3.22,12.69,0.0788,548494.68,3.44
VEH-00152,15.56,0.0643,631175.81,3.89,15.01,0.0666,694536.54,4.15
VEH-00153,16.11,0.0621,374214.76,3.21,14.78,0.0677,443432.47,3.52
VEH-00154,13.89,0.072,634353.36,3.78,12.32,0.0812,699940.95,4.38
VEH-00155,13.64,0.0733,740037.34,4.0,11.74,0.0852,900963.09,4.27
VEH-00156,12.47,0.0802,779168.23,3.71,11.08,0.0903,967575.28,4.07
VEH-00157,14.09,0.071,574936.3,3.35,12.43,0.0805,629290.2,3.79
VEH-00158,11.9,0.084,696075.82,3.62,10.47,0.0955,772813.8,3.94
VEH-00159,15.84,0.0631,357238.91,2.89,14.94,0.0669,429864.0,3.38
VEH-00160,13.22,0.0756,801470.9,3.95,12.42,0.0805,979822.57,4.27
VEH-00161,15.68,0.0638,362077.95,3.09,14.43,0.0693,429791.17,3.32
VEH-00162,15.74,0.0635,516896.42,3.43,14.22,0.0703,635107.66,3.71
VEH-00163,15.69,0.0637,362146.29,3.11,14.7,0.068,411079.5,3.28
VEH-00164,14.24,0.0702,654056.63,3.99,13.7,0.073,742979.12,4.59
VEH-00165,15.64,0.0639,470742.06,3.04,14.24,0.0702,525644.68,3.4
VEH-00166,17.73,0.0564,140640.67,2.41,16.98,0.0589,171043.3,2.8
VEH-00167,15.17,0.0659,447304.06,3.8,14.57,0.0686,555202.55,4.33
VEH-00168,17.35,0.0576,229084.51,2.49,15.64,0.0639,272201.26,2.74
VEH-00169,13.66,0.0732,605354.47,3.43,12.76,0.0784,707519.83,3.79
VEH-00170,14.51,0.0689,428860.08,3.17,13.54,0.0739,500634.57,3.42
VEH-00171,14.68,0.0681,499957.44,3.49,13.19,0.0758,541258.16,4.16
VEH-00172,16.87,0.0593,327795.05,2.89,16.05,0.0623,398214.29,3.06
VEH-00173,17.64,0.0567,215748.08,2.72,16.9,0.0592,245165.82,2.9
VEH-00174,12.0,0.0833,709994.6,3.68,11.49,0.087,873715.21,3.93
VEH-00175,16.04,0.0623,352999.01,2.84,14.39,0.0695,429425.87,3.03
VEH-00176,16.83,0.0594,327735.74,2.84,15.12,0.0661,394792.14,3.08
VEH-00177,15.75,0.0635,206672.03,2.27,14.15,0.0707,245493.7,2.6
VEH-00178,16.47,0.0607,310098.06,3.07,15.21,0.0657,367216.04,3.62
VEH-00179,15.52,0.0644,517799.63,3.54,14.07,0.0711,560816.11,3.83
VEH-00180,15.47,0.0646,343270.41,2.81,14.87,0.0672,380811.67,3.0
VEH-00181,15.35,0.0651,329997.38,3.0,14.43,0.0693,377730.13,3.44
VEH-00182,6.67,0.1499,2204985.62,5.28,5.57,0.1795,2452099.37,6.09
VEH-00183,14.12,0.0708,648089.16,4.05,13.52,0.074,724058.15,4.85
VEH-00184,14.83,0.0674,503538.07,3.18,13.71,0.0729,561792.98,3.62
VEH-00185,14.76,0.0678,427552.9,3.35,13.82,0.0724,481071.53,3.61
VEH-00186,17.56,0.0569,233851.08,2.24,17.03,0.0587,257885.17,2.48
VEH-00187,11.57,0.0864,1199000.78,4.92,10.17,0.0983,1494069.5,5.17
VEH-00188,13.24,0.0755,616044.01,3.43,11.28,0.0887,699195.02,3.65
VEH-00189,11.86,0.0843,887093.2,4.31,9.97,0.1003,1089885.05,5.07
VEH-00190,14.39,0.0695,748294.53,4.0,13.14,0.0761,810772.2,4.43
VEH-00191,14.79,0.0676,466239.85,3.32,13.36,0.0749,553556.82,3.5
VEH-00192,17.64,0.0567,120746.58,2.21,15.67,0.0638,146299.4,2.51
VEH-00193,14.27,0.0701,428638.51,3.12,13.04,0.0767,507584.85,3.71
VEH-00194,17.02,0.0588,245851.69,2.99,15.4,0.0649,286535.74,3.28
VEH-00195,15.44,0.0648,385782.41,3.29,14.23,0.0703,476393.37,3.68
VEH-00196,15.06,0.0664,394121.57,3.21,13.77,0.0726,432290.46,3.65
VEH-00197,16.82,0.0595,241481.33,2.63,15.71,0.0637,296344.46,3.07
VEH-00198,10.85,0.0922,938243.38,4.05,9.67,0.1034,1152315.74,4.8
VEH-00199,16.22,0.0617,220372.73,2.72,15.19,0.0658,273524.79,2.96
VEH-00200,15.39,0.065,377920.99,3.11,13.64,0.0733,456587.37,3.61
VEH-00201,12.02,0.0832,843820.43,4.15,10.65,0.0939,914049.01,4.74
VEH-00202,16.65,0.0601,107686.97,1.99,15.32,0.0653,119831.44,2.2
VEH-00203,17.82,0.0561,229632.32,2.64,17.19,0.0582,270984.16,2.94
VEH-00204,17.85,0.056,226930.49,2.6,16.68,0.06,274106.42,3.03
VEH-00205,15.41,0.0649,474476.48,3.36,14.12,0.0708,578456.39,3.8
VEH-00206,12.13,0.0824,863392.3,4.51,10.42,0.096,947249.86,4.94
VEH-00207,15.34,0.0652,372124.81,3.2,14.15,0.0707,457818.89,3.78
VEH-00208,17.11,0.0584,221114.98,2.68,15.49,0.0646,244822.66,3.19
VEH-00209,17.59,0.0569,329744.48,3.02,16.99,0.0589,402325.79,3.38
VEH-00210,16.44,0.0608,266323.58,2.61,14.58,0.0686,312708.27,3.13
VEH-00211,18.19,0.055,171967.43,2.46,17.5,0.0571,195023.14,2.6
VEH-00212,17.75,0.0563,216899.4,2.65,15.9,0.0629,264354.46,2.97
VEH-00213,15.72,0.0636,294408.28,2.41,14.7,0.068,328297.8,2.77
VEH-00214,16.44,0.0608,444649.64,3.23,15.26,0.0655,485848.12,3.65
VEH-00215,17.06,0.0586,243105.97,2.69,16.18,0.0618,274561.93,3.16
VEH-00216,19.93,0.0502,57980.45,2.08,18.84,0.0531,72084.18,2.49
VEH-00217,16.69,0.0599,237472.56,3.03,16.08,0.0622,257219.72,3.43
VEH-00218,16.4,0.061,323867.62,2.86,14.93,0.067,364710.77,3.07
VEH-00219,16.57,0.0604,302188.65,2.86,15.11,0.0662,348012.88,3.13
VEH-00220,15.65,0.0639,417559.79,3.07,14.5,0.069,473067.93,3.25
VEH-00221,17.73,0.0564,288389.36,2.78,16.49,0.0606,314138.88,2.99
VEH-00222,11.29,0.0886,852468.51,3.9,10.74,0.0931,928159.63,4.45
VEH-00223,16.22,0.0617,243143.62,2.81,15.14,0.0661,273935.2,3.34
VEH-00224,17.09,0.0585,343033.41,2.88,15.87,0.063,411971.55,3.07
VEH-00225,17.13,0.0584,88559.54,2.0,16.58,0.0603,105626.07,2.21
VEH-00226,18.55,0.0539,194399.18,2.29,16.72,0.0598,231843.77,2.57
VEH-00227,18.64,0.0536,207541.36,2.53,16.73,0.0598,234059.23,2.74
VEH-00228,12.81,0.0781,567687.85,3.7,11.55,0.0866,673602.66,4.21
VEH-00229,17.01,0.0588,286567.55,2.96,15.03,0.0665,316855.78,3.11
VEH-00230,12.25,0.0816,756489.87,3.99,10.81,0.0925,891504.62,4.43
VEH-00231,17.06,0.0586,25730.37,2.07,16.04,0.0623,28355.12,2.45
VEH-00232,17.3,0.0578,182858.62,2.68,15.41,0.0649,218437.91,2.99
VEH-00233,15.44,0.0648,207271.24,2.57,14.57,0.0686,239114.93,2.95
VEH-00234,14.67,0.0682,557329.31,3.49,13.49,0.0741,649399.13,4.03
VEH-00235,13.2,0.0758,658457.21,3.87,12.06,0.0829,762184.97,4.18
VEH-00236,15.66,0.0639,451371.33,3.47,14.74,0.0678,537048.02,3.9
VEH-00237,16.19,0.0618,451761.79,3.56,14.79,0.0676,498430.44,3.95
VEH-00238,14.19,0.0705,592706.18,3.24,12.41,0.0806,641157.89,3.89
VEH-00239,14.9,0.0671,261403.84,2.39,14.28,0.07,315217.42,2.55
VEH-00240,14.51,0.0689,450838.89,3.31,13.19,0.0758,535671.3,3.66
VEH-00241,17.7,0.0565,221112.05,2.77,16.62,0.0602,260992.14,3.17
VEH-00242,12.2,0.082,616892.54,3.4,10.25,0.0976,707091.21,3.87
VEH-00243,17.72,0.0564,272709.81,2.82,16.11,0.0621,325150.14,3.37
VEH-00244,16.14,0.062,247954.84,2.6,14.81,0.0675,279303.63,2.75
VEH-00245,14.24,0.0702,460091.06,3.38,13.12,0.0762,498750.33,3.64
VEH-00246,15.35,0.0651,422926.7,3.22,13.86,0.0722,520465.95,3.76
VEH-00247,15.78,0.0634,434036.5,3.1,14.12,0.0708,535903.89,3.59
VEH-00248,12.0,0.0833,917691.36,4.33,10.01,0.0999,1049125.2,5.05
VEH-00249,13.54,0.0739,657949.18,3.96,12.6,0.0794,786438.9,4.54
VEH-00250,20.0,0.05,69948.28,1.99,19.23,0.052,78020.71,2.35
VEH-00251,15.23,0.0657,202764.62,2.66,13.37,0.0748,247669.87,3.11
VEH-00252,16.82,0.0595,191047.51,2.4,14.86,0.0673,230205.29,2.64
VEH-00253,14.94,0.0669,502115.68,3.71,13.38,0.0747,612574.96,4.44
VEH-00254,18.41,0.0543,105524.03,2.49,17.35,0.0576,126717.44,2.98
VEH-00255,18.31,0.0546,224567.41,2.43,16.69,0.0599,245681.67,2.72
VEH-00256,16.55,0.0604,143707.24,2.18,14.63,0.0684,168921.78,2.43
VEH-00257,14.03,0.0713,334028.38,2.76,13.04,0.0767,375820.62,2.91
VEH-00258,14.24,0.0702,521830.51,3.42,13.7,0.073,585012.07,4.07
VEH-00259,16.9,0.0592,275311.39,3.11,15.87,0.063,327081.63,3.27
VEH-00260,12.24,0.0817,579005.5,3.32,11.7,0.0855,692957.67,3.87
VEH-00261,15.47,0.0646,434626.89,3.48,14.0,0.0714,482689.68,3.77
VEH-00262,18.73,0.0534,121896.57,2.25,16.83,0.0594,141576.05,2.7
VEH-00263,17.04,0.0587,286622.08,2.42,16.2,0.0617,312489.36,2.64
VEH-00264,13.22,0.0756,711606.68,3.59,12.15,0.0823,837936.52,3.96
VEH-00265,18.15,0.0551,132606.64,2.54,17.36,0.0576,161821.7,2.78
VEH-00266,15.49,0.0646,508444.76,3.67,13.63,0.0734,617108.33,4.02
VEH-00267,18.75,0.0533,138239.39,2.45,17.98,0.0556,155277.8,2.77
VEH-00268,13.38,0.0747,777611.64,4.23,11.97,0.0835,960235.06,4.97
VEH-00269,14.35,0.0697,406762.65,3.27,12.91,0.0775,482500.6,3.6
VEH-00270,13.91,0.0719,493622.39,2.78,12.42,0.0805,587118.11,2.92
VEH-00271,16.86,0.0593,216875.87,2.5,15.33,0.0652,263730.49,2.81
VEH-00272,18.37,0.0544,133408.11,2.37,17.76,0.0563,147656.15,2.74
VEH-00273,18.5,0.0541,102691.5,2.23,17.34,0.0577,114015.13,2.59
VEH-00274,14.3,0.0699,464893.17,3.16,13.52,0.074,511124.88,3.36
VEH-00275,16.13,0.062,220774.29,2.6,14.78,0.0677,253328.84,2.98
VEH-00276,19.72,0.0507,125211.65,2.49,18.93,0.0528,150528.62,2.75
VEH-00277,16.81,0.0595,385348.47,3.26,14.93,0.067,461822.07,3.48
VEH-00278,13.17,0.0759,716451.17,4.24,11.74,0.0852,827483.17,4.8
VEH-00279,14.53,0.0688,532656.94,3.51,12.79,0.0782,642263.65,3.72
VEH-00280,17.19,0.0582,227205.68,2.48,15.6,0.0641,279708.05,2.97
VEH-00281,15.86,0.0631,296428.01,3.06,14.44,0.0693,362962.0,3.44
VEH-00282,15.69,0.0637,517707.14,3.74,14.77,0.0677,580137.96,4.08
VEH-00283,13.52,0.074,629562.75,3.69,13.01,0.0769,737760.42,4.04
VEH-00284,16.61,0.0602,292026.85,2.63,15.26,0.0655,351367.4,3.14
VEH-00285,16.04,0.0623,463422.02,3.66,14.05,0.0712,577196.6,4.3
VEH-00286,14.07,0.0711,610680.35,4.01,12.55,0.0797,756348.98,4.39
VEH-00287,15.45,0.0647,402923.72,3.42,13.86,0.0722,441377.63,3.85
VEH-00288,16.82,0.0595,168044.78,2.53,16.21,0.0617,203423.31,2.83
VEH-00289,15.4,0.0649,433920.95,3.31,13.98,0.0715,520278.36,3.9
VEH-00290,15.22,0.0657,320620.69,2.93,14.11,0.0709,395609.7,3.24
VEH-00291,17.2,0.0581,247890.0,2.45,15.33,0.0652,270535.81,2.73
VEH-00292,17.52,0.0571,317974.67,3.11,15.58,0.0642,384746.96,3.28
VEH-00293,13.07,0.0765,839227.97,4.35,11.53,0.0867,931337.52,4.62
VEH-00294,15.33,0.0652,428043.09,3.23,13.43,0.0745,528199.87,3.63
VEH-00295,15.06,0.0664,544289.86,3.78,14.03,0.0713,669315.75,4.45
VEH-00296,17.34,0.0577,222092.43,2.29,16.01,0.0625,247242.69,2.52
VEH-00297,19.42,0.0515,80502.71,2.43,17.65,0.0567,97554.93,2.55
VEH-00298,13.61,0.0735,682044.66,3.96,12.97,0.0771,794041.0,4.65
VEH-00299,16.92,0.0591,227333.83,2.87,16.38,0.0611,254294.5,3.31
VEH-00300,16.95,0.059,97090.56,2.27,16.0,0.0625,116031.58,2.72
VEH-00301,13.59,0.0736,424565.04,3.18,12.39,0.0807,490004.94,3.58
VEH-00302,11.93,0.0838,873136.01,3.74,10.02,0.0998,1020344.51,4.24
VEH-00303,13.26,0.0754,485000.26,3.13,11.76,0.085,584475.11,3.36
VEH-00304,10.85,0.0922,750026.12,3.36,9.49,0.1054,900492.02,3.6
VEH-00305,16.05,0.0623,306845.37,2.47,14.14,0.0707,342967.73,2.62
VEH-00306,14.57,0.0686,458421.26,3.47,13.95,0.0717,545379.05,3.65
VEH-00307,15.5,0.0645,540516.2,3.88,14.73,0.0679,674484.74,4.53
VEH-00308,17.0,0.0588,262263.08,2.8,15.28,0.0654,313918.24,3.2
VEH-00309,15.04,0.0665,589927.99,3.75,13.09,0.0764,699923.71,4.09
VEH-00310,16.72,0.0598,351479.68,2.87,15.49,0.0646,438211.85,3.18
VEH-00311,14.67,0.0682,442103.45,3.42,13.1,0.0763,484560.75,3.64
VEH-00312,14.8,0.0676,413714.5,3.25,13.49,0.0741,460200.79,3.82
VEH-00313,15.4,0.0649,567363.53,3.66,13.96,0.0716,675103.74,4.05
VEH-00314,13.62,0.0734,663205.21,4.05,11.96,0.0836,771719.07,4.37
VEH-00315,17.15,0.0583,188242.63,2.43,15.4,0.0649,216803.06,2.65
VEH-00316,17.62,0.0568,240821.4,2.83,15.62,0.064,300402.67,3.25
VEH-00317,15.69,0.0637,379912.78,2.88,14.53,0.0688,474130.65,3.29
VEH-00318,13.02,0.0768,739154.12,3.95,11.5,0.087,923252.0,4.4
VEH-00319,15.83,0.0632,241981.82,2.89,14.84,0.0674,302380.11,3.44
VEH-00320,16.81,0.0595,193011.72,2.59,16.21,0.0617,213315.05,2.74
VEH-00321,15.89,0.0629,310204.37,2.89,15.27,0.0655,373241.11,3.37
