vehicle_id,maintenance_date,downtime_days,predicted_downtime,next_service_date
VEH-00049,2022-04-04,7.7,7.76,2022-07-03
VEH-00050,2024-11-01,1.9,4.92,2025-01-30
VEH-00052,2022-09-13,9.8,11.2,2022-12-12
VEH-00052,2023-01-10,12.7,11.2,2023-04-10
VEH-00053,2023-06-21,7.4,7.62,2023-09-19
VEH-00054,2024-06-25,14.7,11.19,2024-09-23
VEH-00055,2022-11-09,7.9,11.35,2023-02-07
VEH-00055,2023-08-22,14.9,11.35,2023-11-20
VEH-00056,2023-01-13,6.0,3.43,2023-04-13
VEH-00056,2023-03-09,4.0,3.43,2023-06-07
VEH-00056,2023-05-17,4.4,3.43,2023-08-15
VEH-00057,2023-07-19,10.2,8.99,2023-10-17
VEH-00058,2023-09-17,13.4,10.55,2023-12-16
VEH-00059,2023-03-27,1.3,3.81,2023-06-25
VEH-00059,2024-03-28,6.1,3.81,2024-06-26
VEH-00060,2023-07-21,4.1,6.0,2023-10-19
VEH-00061,2022-12-23,14.7,9.54,2023-03-23
VEH-00061,2022-05-28,4.4,9.54,2022-08-26
VEH-00062,2024-02-09,7.0,7.42,2024-05-09
VEH-00063,2024-01-03,0.5,4.24,2024-04-02
VEH-00064,2022-02-07,2.8,7.49,2022-05-08
VEH-00064,2022-05-26,11.1,7.49,2022-08-24
VEH-00064,2022-11-03,8.8,7.49,2023-02-01
VEH-00065,2024-04-06,8.7,9.26,2024-07-05
VEH-00065,2024-08-29,7.6,9.26,2024-11-27
VEH-00065,2023-04-19,10.0,9.26,2023-07-18
VEH-00066,2024-07-31,6.6,7.22,2024-10-29
VEH-00067,2023-03-02,9.2,8.5,2023-05-31
VEH-00069,2023-11-05,7.9,7.86,2024-02-03
VEH-00070,2023-01-08,2.8,5.36,2023-04-08
VEH-00071,2023-12-22,6.0,3.71,2024-03-21
VEH-00071,2024-07-23,1.2,3.71,2024-10-21
VEH-00072,2024-05-11,5.0,6.44,2024-08-09
VEH-00073,2024-10-13,9.1,8.45,2025-01-11
VEH-00075,2022-07-02,5.5,6.69,2022-09-30
VEH-00076,2023-06-11,4.0,7.63,2023-09-09
VEH-00076,2023-03-28,11.2,7.63,2023-06-26
VEH-00077,2024-05-23,6.9,5.28,2024-08-21
VEH-00077,2024-01-04,3.5,5.28,2024-04-03
VEH-00078,2024-08-12,2.1,4.5,2024-11-10
VEH-00078,2022-11-26,6.7,4.5,2023-02-24
VEH-00079,2022-06-10,9.5,8.64,2022-09-08
VEH-00080,2024-03-16,6.8,9.01,2024-06-14
VEH-00080,2023-11-08,5.0,9.01,2024-02-06
VEH-00080,2022-05-30,14.0,9.01,2022-08-28
VEH-00081,2023-05-12,4.6,7.48,2023-08-10
VEH-00081,2024-04-19,10.3,7.48,2024-07-18
VEH-00082,2022-10-27,7.8,5.38,2023-01-25
VEH-00082,2024-09-03,2.8,5.38,2024-12-02
VEH-00085,2024-07-01,2.2,7.53,2024-09-29
VEH-00085,2022-03-30,12.8,7.53,2022-06-28
VEH-00086,2023-01-30,7.4,7.62,2023-04-30
VEH-00087,2022-09-15,4.9,6.39,2022-12-14
VEH-00088,2023-09-16,9.4,8.59,2023-12-15
VEH-00089,2022-02-26,11.8,9.98,2022-05-27
VEH-00089,2024-08-03,8.2,9.98,2024-11-01
VEH-00090,2023-01-25,12.7,8.51,2023-04-25
VEH-00090,2024-05-31,4.3,8.51,2024-08-29
VEH-00092,2023-09-04,6.2,7.38,2023-12-03
VEH-00092,2022-06-23,8.5,7.38,2022-09-21
VEH-00093,2023-02-24,6.4,7.13,2023-05-25
VEH-00094,2022-03-10,4.7,4.4,2022-06-08
VEH-00094,2024-04-12,3.9,4.4,2024-07-11
VEH-00095,2024-05-01,8.3,13.03,2024-07-30
VEH-00095,2022-03-08,13.5,13.03,2022-06-06
VEH-00095,2024-02-21,12.2,13.03,2024-05-21
VEH-00096,2024-09-24,4.3,4.15,2024-12-23
VEH-00096,2023-09-11,3.8,4.15,2023-12-10
VEH-00097,2022-04-07,9.3,10.32,2022-07-06
VEH-00097,2024-05-14,11.4,10.32,2024-08-12
VEH-00098,2023-02-12,2.7,5.31,2023-05-13
VEH-00099,2022-01-20,6.3,5.08,2022-04-20
VEH-00099,2023-03-18,3.7,5.08,2023-06-16
VEH-00100,2024-04-16,10.5,8.61,2024-07-15
VEH-00100,2024-07-23,6.7,8.61,2024-10-21
VEH-00101,2023-12-13,1.3,4.63,2024-03-12
VEH-00102,2024-01-29,13.6,10.65,2024-04-28
VEH-00104,2023-06-14,3.6,8.9,2023-09-12
VEH-00104,2022-04-06,14.2,8.9,2022-07-05
VEH-00105,2022-07-06,10.1,11.15,2022-10-04
VEH-00105,2023-08-23,12.3,11.15,2023-11-21
VEH-00106,2023-06-15,14.4,11.04,2023-09-13
VEH-00107,2024-10-11,9.5,8.64,2025-01-09
VEH-00108,2023-06-25,8.4,10.71,2023-09-23
VEH-00108,2022-11-12,13.1,10.71,2023-02-10
VEH-00109,2023-01-04,12.1,9.92,2023-04-04
VEH-00110,2024-02-29,13.8,10.37,2024-05-29
VEH-00110,2023-05-22,7.0,10.37,2023-08-20
VEH-00111,2023-01-17,14.7,10.08,2023-04-17
VEH-00111,2024-12-23,5.5,10.08,2025-03-23
VEH-00112,2022-04-13,13.0,9.29,2022-07-12
VEH-00112,2023-08-20,5.6,9.29,2023-11-18
VEH-00113,2023-12-28,13.5,10.6,2024-03-27
VEH-00114,2024-10-08,13.6,10.65,2025-01-06
VEH-00115,2023-06-06,3.1,5.51,2023-09-04
VEH-00117,2024-01-09,5.9,6.88,2024-04-08
VEH-00118,2023-10-19,3.3,4.1,2024-01-17
VEH-00118,2022-01-04,4.7,4.1,2022-04-04
VEH-00119,2024-06-25,8.0,11.36,2024-09-23
VEH-00119,2023-11-09,12.2,11.36,2024-02-07
VEH-00119,2024-02-06,10.4,11.36,2024-05-06
VEH-00120,2023-10-04,9.5,8.64,2024-01-02
VEH-00121,2024-03-24,13.2,10.45,2024-06-22
VEH-00122,2024-04-28,13.9,10.8,2024-07-27
VEH-00123,2023-10-16,8.7,8.25,2024-01-14
VEH-00124,2024-05-06,1.7,3.27,2024-08-04
VEH-00124,2022-02-26,4.6,3.27,2022-05-27
VEH-00125,2023-10-23,9.1,9.64,2024-01-21
VEH-00125,2024-04-03,10.2,9.64,2024-07-02
VEH-00126,2024-04-16,14.3,9.29,2024-07-15
VEH-00126,2024-06-02,4.3,9.29,2024-08-31
VEH-00127,2022-02-25,3.5,5.71,2022-05-26
VEH-00128,2023-04-02,8.8,8.3,2023-07-01
VEH-00129,2022-11-18,2.7,8.22,2023-02-16
VEH-00129,2022-06-06,13.7,8.22,2022-09-04
VEH-00130,2024-02-02,8.4,8.71,2024-05-02
VEH-00130,2024-04-02,9.0,8.71,2024-07-01
VEH-00131,2023-11-01,14.8,14.29,2024-01-30
VEH-00131,2022-01-02,14.0,14.29,2022-04-02
VEH-00133,2024-06-24,5.0,5.72,2024-09-22
VEH-00133,2024-03-05,6.3,5.72,2024-06-03
VEH-00134,2022-09-01,3.7,5.8,2022-11-30
VEH-00135,2022-08-17,6.8,7.32,2022-11-15
VEH-00136,2023-01-02,4.9,6.39,2023-04-02
VEH-00137,2022-04-04,8.2,8.01,2022-07-03
VEH-00138,2023-07-31,13.0,10.52,2023-10-29
VEH-00138,2022-11-11,8.1,10.52,2023-02-09
VEH-00139,2024-11-18,0.8,5.72,2025-02-16
VEH-00139,2024-06-03,10.5,5.72,2024-09-01
VEH-00140,2022-01-05,3.4,5.66,2022-04-05
VEH-00141,2023-11-21,1.9,10.09,2024-02-19
VEH-00141,2022-04-06,13.4,10.09,2022-07-05
VEH-00141,2022-01-04,12.7,10.09,2022-04-04
VEH-00142,2022-05-08,10.6,9.18,2022-08-06
VEH-00143,2024-07-25,3.1,8.22,2024-10-23
VEH-00143,2024-10-24,13.3,8.22,2025-01-22
VEH-00144,2023-03-16,1.7,4.5,2023-06-14
VEH-00144,2022-08-22,7.1,4.5,2022-11-20
VEH-00145,2024-06-07,2.1,5.02,2024-09-05
VEH-00147,2023-01-24,3.8,5.85,2023-04-24
VEH-00149,2022-07-23,3.2,5.56,2022-10-21
VEH-00151,2024-12-18,11.6,10.71,2025-03-18
VEH-00151,2024-04-11,9.9,10.71,2024-07-10
VEH-00152,2024-01-29,13.5,11.46,2024-04-28
VEH-00152,2022-07-25,9.5,11.46,2022-10-23
VEH-00152,2024-06-29,7.8,11.46,2024-09-27
VEH-00153,2023-12-23,8.2,8.01,2024-03-22
VEH-00154,2023-09-05,10.3,11.3,2023-12-04
VEH-00154,2024-03-11,12.4,11.3,2024-06-09
VEH-00155,2022-12-16,1.9,5.57,2023-03-16
VEH-00155,2024-07-06,9.1,5.57,2024-10-04
VEH-00156,2023-12-05,10.2,8.99,2024-03-04
VEH-00157,2024-06-29,9.3,7.92,2024-09-27
VEH-00157,2023-07-04,6.5,7.92,2023-10-02
VEH-00158,2022-05-09,8.7,7.35,2022-08-07
VEH-00158,2023-09-21,10.4,7.35,2023-12-20
VEH-00158,2024-04-10,3.3,7.35,2024-07-09
VEH-00159,2023-09-12,4.7,6.85,2023-12-11
VEH-00159,2024-11-28,8.9,6.85,2025-02-26
VEH-00160,2024-02-19,5.1,4.15,2024-05-19
VEH-00160,2024-11-20,3.0,4.15,2025-02-18
VEH-00162,2022-12-02,1.1,4.53,2023-03-02
VEH-00163,2023-08-17,8.4,10.03,2023-11-15
VEH-00163,2024-12-30,11.7,10.03,2025-03-30
VEH-00164,2023-01-25,10.2,8.99,2023-04-25
VEH-00165,2024-08-28,6.5,7.17,2024-11-26
VEH-00166,2022-01-30,13.8,8.87,2022-04-30
VEH-00166,2022-01-02,10.9,8.87,2022-04-02
VEH-00166,2022-07-28,0.8,8.87,2022-10-26
VEH-00167,2024-03-04,11.6,7.74,2024-06-02
VEH-00167,2024-06-16,8.8,7.74,2024-09-14
VEH-00167,2024-09-09,2.8,7.74,2024-12-08
VEH-00168,2022-03-05,13.4,10.55,2022-06-03
VEH-00169,2022-04-08,4.9,6.39,2022-07-07
VEH-00170,2022-09-27,4.5,2.6,2022-12-26
VEH-00170,2024-05-14,5.9,2.6,2024-08-12
VEH-00170,2022-03-21,2.3,2.6,2022-06-19
VEH-00171,2023-12-06,2.5,5.22,2024-03-05
VEH-00172,2023-01-01,0.6,4.29,2023-04-01
VEH-00173,2023-03-18,4.2,6.07,2023-06-16
VEH-00173,2024-09-10,10.4,6.07,2024-12-09
VEH-00173,2024-02-02,5.2,6.07,2024-05-02
VEH-00174,2023-04-20,7.6,6.81,2023-07-19
VEH-00174,2022-10-08,3.7,6.81,2023-01-06
VEH-00174,2022-04-26,10.0,6.81,2022-07-25
VEH-00175,2022-05-20,9.8,8.79,2022-08-18
VEH-00177,2024-10-10,8.3,6.8,2025-01-08
VEH-00177,2023-12-11,5.2,6.8,2024-03-10
VEH-00178,2022-12-17,12.7,10.22,2023-03-17
VEH-00178,2023-10-03,7.8,10.22,2024-01-01
VEH-00180,2024-01-25,1.3,4.63,2024-04-24
VEH-00182,2024-12-19,1.8,6.96,2025-03-19
VEH-00182,2024-07-19,11.6,6.96,2024-10-17
VEH-00182,2024-01-01,8.2,6.96,2024-03-31
VEH-00184,2022-08-18,4.9,3.73,2022-11-16
VEH-00184,2023-02-13,9.2,3.73,2023-05-14
VEH-00184,2023-11-14,0.9,3.73,2024-02-12
VEH-00187,2022-09-13,13.2,10.45,2022-12-12
VEH-00188,2023-02-16,1.0,4.48,2023-05-17
VEH-00190,2024-11-02,8.6,6.65,2025-01-31
VEH-00190,2022-12-23,4.6,6.65,2023-03-23
VEH-00193,2023-01-12,2.3,5.12,2023-04-12
VEH-00194,2024-04-16,11.1,9.43,2024-07-15
VEH-00197,2024-11-14,13.0,16.01,2025-02-12
VEH-00197,2024-05-20,13.1,16.01,2024-08-18
VEH-00197,2022-06-29,14.0,16.01,2022-09-27
VEH-00198,2022-05-14,6.2,5.91,2022-08-12
VEH-00198,2024-02-10,5.5,5.91,2024-05-10
VEH-00199,2022-03-17,8.5,8.15,2022-06-15
VEH-00200,2023-04-12,3.9,5.9,2023-07-11
VEH-00201,2022-12-02,6.4,6.36,2023-03-02
VEH-00201,2023-08-18,6.2,6.36,2023-11-16
VEH-00203,2024-11-24,6.9,7.37,2025-02-22
VEH-00205,2024-10-01,2.3,2.05,2024-12-30
VEH-00205,2022-08-16,1.5,2.05,2022-11-14
VEH-00206,2022-06-01,3.2,9.4,2022-08-30
VEH-00206,2022-06-17,11.4,9.4,2022-09-15
VEH-00206,2023-09-05,12.0,9.4,2023-12-04
VEH-00207,2024-05-21,6.2,10.48,2024-08-19
VEH-00207,2022-08-03,9.8,10.48,2022-11-01
VEH-00207,2024-12-17,12.8,10.48,2025-03-17
VEH-00208,2022-06-17,14.8,7.82,2022-09-15
VEH-00208,2023-07-18,0.8,7.82,2023-10-16
VEH-00209,2022-08-04,5.9,8.9,2022-11-02
VEH-00209,2024-05-20,11.9,8.9,2024-08-18
VEH-00210,2023-10-04,7.2,4.1,2024-01-02
VEH-00210,2023-10-15,0.8,4.1,2024-01-13
VEH-00212,2022-09-07,1.7,4.82,2022-12-06
VEH-00214,2024-12-26,9.9,8.84,2025-03-26
VEH-00216,2023-12-17,1.1,4.53,2024-03-16
VEH-00217,2024-12-23,10.9,9.33,2025-03-23
VEH-00218,2023-08-04,4.8,6.34,2023-11-02
VEH-00219,2023-02-28,14.0,8.96,2023-05-29
VEH-00219,2024-10-13,2.5,8.96,2025-01-11
VEH-00219,2022-06-11,9.2,8.96,2022-09-09
VEH-00220,2023-03-05,1.4,6.27,2023-06-03
VEH-00220,2023-11-15,14.7,6.27,2024-02-13
VEH-00220,2022-07-05,4.1,6.27,2022-10-03
VEH-00221,2024-03-01,8.7,8.25,2024-05-30
VEH-00222,2023-12-12,4.1,6.0,2024-03-11
VEH-00223,2022-10-02,3.1,6.55,2022-12-31
VEH-00223,2022-11-21,9.9,6.55,2023-02-19
VEH-00224,2022-01-10,8.1,9.24,2022-04-10
VEH-00224,2023-06-07,10.4,9.24,2023-09-05
VEH-00225,2022-03-13,5.2,6.54,2022-06-11
VEH-00226,2023-11-17,4.4,6.37,2024-02-15
VEH-00226,2022-09-12,8.4,6.37,2022-12-11
VEH-00226,2024-10-01,7.6,6.37,2024-12-30
VEH-00228,2024-05-14,4.3,8.17,2024-08-12
VEH-00228,2024-07-17,12.0,8.17,2024-10-15
VEH-00229,2024-04-23,6.3,5.24,2024-07-22
VEH-00229,2022-12-22,7.9,5.24,2023-03-22
VEH-00229,2023-10-18,3.9,5.24,2024-01-16
VEH-00230,2024-07-18,4.4,6.15,2024-10-16
VEH-00231,2022-02-13,11.5,10.27,2022-05-14
VEH-00231,2022-03-13,9.1,10.27,2022-06-11
VEH-00233,2022-05-14,7.3,6.01,2022-08-12
VEH-00233,2024-11-14,4.6,6.01,2025-02-12
VEH-00234,2024-07-09,10.9,10.27,2024-10-07
VEH-00234,2022-08-19,9.7,10.27,2022-11-17
VEH-00235,2022-02-17,5.6,6.73,2022-05-18
VEH-00236,2022-03-22,3.0,5.46,2022-06-20
VEH-00237,2022-06-24,5.7,6.78,2022-09-22
VEH-00238,2022-10-02,1.5,2.68,2022-12-31
VEH-00238,2024-10-10,3.6,2.68,2025-01-08
VEH-00239,2024-01-31,7.5,7.97,2024-04-30
VEH-00239,2022-07-22,8.4,7.97,2022-10-20
VEH-00240,2022-02-27,6.2,7.03,2022-05-28
VEH-00244,2024-04-13,1.6,5.39,2024-07-12
VEH-00244,2023-09-04,4.3,5.39,2023-12-03
VEH-00244,2022-12-20,12.5,5.39,2023-03-20
VEH-00246,2022-03-14,6.8,7.32,2022-06-12
VEH-00247,2023-03-17,8.4,4.79,2023-06-15
VEH-00247,2022-12-14,1.0,4.79,2023-03-14
VEH-00248,2023-04-30,1.5,4.73,2023-07-29
VEH-00250,2023-02-07,7.2,4.94,2023-05-08
VEH-00250,2022-03-03,2.5,4.94,2022-06-01
VEH-00252,2022-02-23,1.8,4.87,2022-05-24
VEH-00253,2024-07-13,3.5,6.8,2024-10-11
VEH-00253,2022-03-26,10.0,6.8,2022-06-24
VEH-00254,2022-10-19,12.4,7.29,2023-01-17
VEH-00254,2023-07-27,2.1,7.29,2023-10-25
VEH-00255,2022-05-21,4.9,6.39,2022-08-19
VEH-00257,2022-04-21,4.8,3.97,2022-07-20
VEH-00257,2023-01-12,6.3,3.97,2023-04-12
VEH-00257,2023-12-03,4.4,3.97,2024-03-02
VEH-00258,2022-10-18,12.4,10.06,2023-01-16
VEH-00260,2023-01-05,3.1,5.51,2023-04-05
VEH-00261,2023-10-09,7.3,4.15,2024-01-07
VEH-00261,2024-08-11,0.8,4.15,2024-11-09
VEH-00262,2023-07-08,5.6,6.73,2023-10-06
VEH-00263,2022-03-17,10.2,8.99,2022-06-15
VEH-00264,2022-07-06,6.4,7.13,2022-10-04
VEH-00265,2024-04-27,12.0,13.4,2024-07-26
VEH-00265,2024-05-12,15.0,13.4,2024-08-10
VEH-00266,2024-10-21,4.3,1.91,2025-01-19
VEH-00266,2023-04-18,2.1,1.91,2023-07-17
VEH-00266,2024-10-01,4.9,1.91,2024-12-30
VEH-00267,2024-04-06,14.4,11.04,2024-07-05
VEH-00268,2023-02-09,4.4,0.89,2023-05-10
VEH-00268,2023-07-08,2.2,0.89,2023-10-06
VEH-00268,2024-04-20,2.6,0.89,2024-07-19
VEH-00271,2022-12-11,11.0,9.38,2023-03-11
VEH-00272,2022-01-30,3.5,5.71,2022-04-30
VEH-00273,2022-01-05,8.0,7.91,2022-04-05
VEH-00274,2023-08-21,2.1,5.02,2023-11-19
VEH-00276,2022-01-07,2.2,6.85,2022-04-07
VEH-00276,2022-02-17,11.4,6.85,2022-05-18
VEH-00277,2023-04-27,7.1,7.47,2023-07-26
VEH-00278,2022-04-02,11.1,9.43,2022-07-01
VEH-00279,2022-06-18,4.2,8.26,2022-09-16
VEH-00279,2022-03-25,12.3,8.26,2022-06-23
VEH-00281,2023-07-22,13.4,10.55,2023-10-20
VEH-00282,2024-07-01,1.7,6.65,2024-09-29
VEH-00282,2024-01-27,11.5,6.65,2024-04-26
VEH-00283,2022-11-04,12.2,9.96,2023-02-02
VEH-00284,2022-05-21,4.0,5.95,2022-08-19
VEH-00285,2024-04-21,14.2,8.82,2024-07-20
VEH-00285,2023-08-04,6.8,8.82,2023-11-02
VEH-00285,2022-04-20,4.4,8.82,2022-07-19
VEH-00286,2022-10-13,2.7,7.19,2023-01-11
VEH-00286,2023-04-01,11.6,7.19,2023-06-30
VEH-00287,2022-11-02,5.5,6.69,2023-01-31
VEH-00289,2024-10-14,7.3,7.57,2025-01-12
VEH-00290,2023-01-30,14.0,8.41,2023-04-30
VEH-00290,2024-07-19,2.8,8.41,2024-10-17
VEH-00291,2022-10-13,2.2,5.07,2023-01-11
VEH-00292,2022-05-23,0.8,4.38,2022-08-21
VEH-00293,2022-08-23,3.0,2.49,2022-11-21
VEH-00293,2023-06-26,1.7,2.49,2023-09-24
VEH-00294,2024-12-05,1.8,3.63,2025-03-05
VEH-00294,2023-02-15,1.8,3.63,2023-05-16
VEH-00294,2023-06-26,11.2,3.63,2023-09-24
VEH-00295,2023-10-28,11.0,9.38,2024-01-26
VEH-00296,2022-12-30,3.7,5.8,2023-03-30
VEH-00297,2024-02-24,5.3,5.23,2024-05-24
VEH-00297,2024-01-20,5.0,5.23,2024-04-19
VEH-00299,2023-06-16,6.6,7.22,2023-09-14
VEH-00300,2024-04-19,5.1,6.49,2024-07-18
VEH-00301,2022-09-16,14.8,14.29,2022-12-15
VEH-00301,2024-03-13,14.0,14.29,2024-06-11
VEH-00302,2022-11-09,14.4,11.04,2023-02-07
VEH-00304,2024-04-17,12.7,10.21,2024-07-16
VEH-00305,2024-08-27,8.9,8.35,2024-11-25
VEH-00306,2024-01-11,14.0,10.85,2024-04-10
VEH-00307,2023-09-14,14.6,11.14,2023-12-13
VEH-00308,2023-04-27,5.0,2.21,2023-07-26
VEH-00308,2024-05-08,2.7,2.21,2024-08-06
VEH-00308,2024-06-05,4.2,2.21,2024-09-03
VEH-00309,2022-02-05,9.8,11.61,2022-05-06
VEH-00309,2022-09-11,8.4,11.61,2022-12-10
VEH-00309,2024-12-23,12.9,11.61,2025-03-23
VEH-00310,2023-04-24,9.0,7.94,2023-07-23
VEH-00310,2024-10-21,8.2,7.94,2025-01-19
VEH-00310,2024-05-09,6.4,7.94,2024-08-07
VEH-00312,2023-12-13,3.1,3.91,2024-03-12
VEH-00312,2024-01-30,4.5,3.91,2024-04-29
VEH-00313,2023-05-22,1.2,-1.37,2023-08-20
VEH-00313,2024-05-18,2.0,-1.37,2024-08-16
VEH-00313,2024-02-28,1.4,-1.37,2024-05-28
VEH-00314,2022-08-04,9.1,6.32,2022-11-02
VEH-00314,2022-06-14,0.7,6.32,2022-09-12
VEH-00314,2024-08-30,10.5,6.32,2024-11-28
VEH-00316,2024-08-13,11.4,7.82,2024-11-11
VEH-00316,2022-11-15,4.2,7.82,2023-02-13
VEH-00317,2024-08-13,13.9,10.8,2024-11-11
VEH-00318,2022-06-07,5.4,6.81,2022-09-05
VEH-00318,2022-09-02,8.6,6.81,2022-12-01
VEH-00318,2024-12-06,7.3,6.81,2025-03-06
VEH-00319,2023-04-10,2.0,2.49,2023-07-09
VEH-00319,2024-11-14,2.7,2.49,2025-02-12
VEH-00320,2024-02-26,2.2,5.07,2024-05-26
VEH-00321,2024-09-20,13.2,10.45,2024-12-19
VEH-00323,2022-01-15,10.3,9.03,2022-04-15
VEH-00324,2023-12-22,9.9,8.84,2024-03-21
VEH-00325,2023-02-02,14.5,11.09,2023-05-03
VEH-00326,2022-09-06,6.1,6.98,2022-12-05
VEH-00327,2023-12-23,7.3,7.57,2024-03-22
VEH-00328,2024-06-25,10.5,10.81,2024-09-23
VEH-00328,2024-01-17,11.2,10.81,2024-04-16
VEH-00329,2023-09-03,7.5,10.76,2023-12-02
VEH-00329,2023-03-22,14.1,10.76,2023-06-20
VEH-00330,2023-06-13,10.7,9.23,2023-09-11
VEH-00331,2023-03-31,12.9,10.31,2023-06-29
VEH-00332,2022-05-16,13.7,10.7,2022-08-14
VEH-00333,2022-06-02,1.2,4.58,2022-08-31
VEH-00334,2024-01-25,5.8,9.44,2024-04-24
VEH-00334,2023-08-19,13.1,9.44,2023-11-17
VEH-00335,2023-04-22,5.2,6.54,2023-07-21
VEH-00336,2023-07-20,14.9,11.29,2023-10-18
VEH-00337,2024-11-01,2.3,6.99,2025-01-30
VEH-00337,2023-05-21,11.6,6.99,2023-08-19
VEH-00338,2022-10-08,13.7,12.57,2023-01-06
VEH-00338,2022-07-21,11.6,12.57,2022-10-19
VEH-00339,2024-11-03,2.7,1.9,2025-02-01
VEH-00339,2024-08-03,0.8,1.9,2024-11-01
VEH-00340,2023-08-23,6.6,6.8,2023-11-21
VEH-00340,2024-08-17,6.9,6.8,2024-11-15
VEH-00342,2024-08-01,7.2,8.51,2024-10-30
VEH-00342,2024-02-26,9.8,8.51,2024-05-26
VEH-00343,2024-09-12,5.1,5.03,2024-12-11
VEH-00343,2024-12-21,4.8,5.03,2025-03-21
VEH-00344,2023-09-10,10.2,10.91,2023-12-09
VEH-00344,2022-04-13,11.7,10.91,2022-07-12
VEH-00345,2024-12-17,3.2,6.91,2025-03-17
VEH-00345,2023-09-07,4.1,6.91,2023-12-06
VEH-00345,2024-07-01,14.2,6.91,2024-09-29
VEH-00346,2023-11-24,10.5,9.13,2024-02-22
VEH-00348,2022-09-14,12.6,10.16,2022-12-13
VEH-00349,2024-04-12,14.1,12.87,2024-07-11
VEH-00349,2023-04-24,11.8,12.87,2023-07-23
VEH-00350,2023-06-16,10.5,12.38,2023-09-14
VEH-00350,2024-08-29,14.4,12.38,2024-11-27
VEH-00351,2024-07-09,5.1,6.5,2024-10-07
VEH-00351,2024-04-22,7.8,6.5,2024-07-21
VEH-00352,2024-10-20,6.8,7.32,2025-01-18
VEH-00353,2022-02-26,3.1,3.22,2022-05-27
