vehicle_id,now_incident_count,now_total_claim_amt_inr,now_total_downtime_inc_days,now_total_repair_cost_inr,future_incident_count,future_total_claim_amt_inr,future_total_downtime_inc_days,future_total_repair_cost_inr
VEH-00080,2,47256.36,4.2,9075.03,2,59887.72,5.3,11026.09
VEH-00081,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00082,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00083,1,54560.46,3.9,7065.05,2,65324.34,5.3,7587.51
VEH-00084,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00085,2,82968.97,1.2,11532.23,2,103767.65,1.6,14473.9
VEH-00086,1,76050.91,3.4,44513.02,3,93009.76,3.9,59179.34
VEH-00087,1,76302.45,4.5,32325.35,2,96600.05,5.3,37112.34
VEH-00088,1,78948.74,1.6,13071.37,3,94039.3,2.0,17315.55
VEH-00089,1,18182.16,2.2,50765.39,3,21874.23,2.9,55825.06
VEH-00090,1,42322.66,1.1,22508.85,1,51778.37,1.2,27471.06
VEH-00091,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00092,2,97354.81,2.9,37836.58,2,111763.2,4.0,49786.89
VEH-00093,1,59354.99,2.3,43952.38,3,65635.03,2.9,50240.07
VEH-00094,1,19907.52,4.0,10178.88,1,24849.44,4.2,11879.73
VEH-00095,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00096,4,33463.04,7.0,53363.77,6,38664.46,8.6,57420.31
VEH-00097,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00098,4,227060.97,14.5,174167.89,6,288162.2,19.9,230063.92
VEH-00099,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00100,1,32943.32,4.7,6523.83,3,37361.23,5.9,8198.54
VEH-00101,2,145074.88,2.3,49499.62,2,187441.55,2.7,59630.84
VEH-00102,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00103,2,26992.46,9.0,46773.31,4,31312.69,12.1,59401.15
VEH-00104,2,114076.36,2.1,56972.17,3,142416.0,2.4,68042.63
VEH-00105,1,35195.31,3.0,33927.49,2,44707.27,3.6,45092.86
VEH-00106,1,8362.49,0.6,8261.28,3,9136.46,0.7,9097.35
VEH-00107,1,72499.36,2.2,54167.7,2,78909.42,2.8,64628.96
VEH-00108,1,59245.2,4.8,35788.48,1,64083.8,6.4,39946.44
VEH-00109,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00110,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00111,2,124867.68,5.5,48590.96,3,152565.7,7.6,61884.85
VEH-00112,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00113,4,161100.58,17.0,138447.61,4,182171.48,20.2,160427.43
VEH-00114,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00115,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00116,2,91119.16,3.8,58842.16,2,115018.39,4.5,66761.18
VEH-00117,1,61309.29,2.7,38134.13,2,65754.75,2.9,50021.16
VEH-00118,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00119,1,35061.3,3.6,49145.84,1,39932.59,3.8,52593.46
VEH-00120,1,74486.41,2.3,22470.66,1,84423.72,2.7,24625.3
VEH-00121,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00122,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00123,2,35796.37,1.2,25052.71,2,44473.3,1.5,26850.73
VEH-00124,1,19502.68,0.8,44890.46,1,20650.46,1.0,55060.74
VEH-00125,1,63945.11,4.2,46540.81,3,78901.89,5.8,52821.29
VEH-00126,1,18639.02,4.2,47275.21,3,19834.07,4.7,52341.44
VEH-00127,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00128,2,43219.77,7.8,33680.59,2,48832.57,10.0,43167.34
VEH-00129,2,141273.0,2.5,92650.41,2,172420.92,3.5,104695.3
VEH-00130,1,46485.89,1.3,56355.32,2,59898.75,1.5,64559.84
VEH-00131,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00132,1,30725.66,1.6,33561.65,3,33651.02,1.7,42533.84
VEH-00133,2,114521.1,1.7,83692.4,3,135128.38,2.0,99509.55
VEH-00134,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00135,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00136,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00137,1,31720.15,1.1,15152.94,3,38446.47,1.3,17188.35
VEH-00138,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00139,1,9803.9,4.5,47568.07,2,10735.89,5.7,55180.92
VEH-00140,1,51088.76,0.9,7709.41,2,62035.7,1.1,9740.01
VEH-00141,4,135481.2,2.1,20335.22,4,149947.21,2.3,21421.6
VEH-00142,1,54663.7,2.4,10383.75,2,68051.32,2.6,13848.85
VEH-00143,1,15317.76,3.5,9018.09,1,18861.33,4.4,9781.4
VEH-00144,1,22577.23,1.4,35532.04,3,28522.24,1.7,46484.16
VEH-00145,1,50981.31,1.6,9281.14,2,55515.09,2.1,11843.43
VEH-00146,1,24306.05,2.2,23437.8,2,26557.18,2.7,28564.04
VEH-00147,2,65530.57,3.8,27517.16,4,76204.37,4.7,29980.41
VEH-00148,2,69330.1,3.0,117841.74,3,80577.81,3.4,158826.02
VEH-00149,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00150,2,12705.62,5.4,97540.29,3,14866.58,7.1,122367.2
VEH-00151,2,57053.42,7.5,116614.24,3,63390.03,9.6,148520.81
VEH-00152,4,46833.69,19.7,230251.03,6,58649.03,25.3,295082.25
VEH-00153,2,30467.87,2.0,107679.59,3,33459.41,2.4,140582.89
VEH-00154,3,176725.3,2.1,30537.08,3,223151.83,2.9,39330.11
VEH-00155,3,104162.67,13.2,24282.29,3,126322.54,17.0,31297.55
VEH-00156,4,317896.35,8.9,64673.63,4,386488.17,10.1,83527.01
VEH-00157,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00158,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00159,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00160,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00161,1,37500.72,3.2,28423.23,2,46329.12,4.3,33732.23
VEH-00162,3,202755.51,8.8,131254.54,4,216857.7,11.0,171055.35
VEH-00163,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00164,1,76555.37,1.3,47248.88,2,93372.3,1.6,60601.44
VEH-00165,1,30200.67,2.8,25716.21,2,36065.08,3.9,30072.6
VEH-00166,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00167,3,170097.59,4.7,25756.17,4,200714.37,6.2,31616.85
VEH-00168,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00169,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00170,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00171,1,63068.94,3.2,33098.53,1,70236.34,3.4,40762.6
VEH-00172,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00173,2,86326.49,7.9,111568.69,4,107447.14,10.6,119264.03
VEH-00174,4,85940.06,7.5,87217.66,4,94167.65,9.6,110536.4
VEH-00175,2,16961.32,6.3,57345.38,2,18783.13,7.3,67572.81
VEH-00176,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00177,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00178,1,9828.47,0.6,46770.19,1,10434.82,0.8,50108.71
VEH-00179,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00180,1,19802.63,2.4,21309.83,3,20815.99,2.6,24176.61
VEH-00181,2,154866.07,5.9,115625.63,2,169410.79,8.0,130886.83
VEH-00182,3,183790.54,14.6,166479.51,3,221633.82,20.2,178876.87
VEH-00183,2,99902.07,9.0,75989.21,4,111579.59,11.1,99291.87
VEH-00184,3,90298.99,11.0,98914.32,5,104750.72,14.8,132834.75
VEH-00185,1,62697.74,2.0,10067.77,1,80438.84,2.8,12771.09
VEH-00186,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00187,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00188,3,189788.36,3.3,66073.59,3,223284.71,4.5,80782.09
VEH-00189,2,74170.35,7.4,84628.97,4,88036.76,9.2,104863.68
VEH-00190,2,117771.88,2.8,29620.03,2,144511.57,3.3,32774.21
VEH-00191,2,51350.57,5.7,61579.78,4,66428.85,6.6,65977.18
VEH-00192,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00193,1,37557.98,4.5,18928.13,3,43317.2,5.8,20188.61
VEH-00194,2,56222.97,1.9,36638.55,3,70687.88,2.1,42770.3
VEH-00195,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00196,2,13346.63,8.3,72419.92,4,16057.19,11.5,94398.55
VEH-00197,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00198,2,98993.31,6.2,52969.32,2,114457.71,8.0,66440.16
VEH-00199,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00200,1,46778.08,4.9,5243.07,3,50647.36,5.7,6900.44
VEH-00201,4,280851.92,16.5,59785.42,6,307567.51,20.7,72298.56
VEH-00202,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00203,3,70041.71,15.0,115973.66,5,83571.88,18.8,140253.49
VEH-00204,1,6877.29,3.1,8584.07,2,7580.78,3.4,9471.02
VEH-00205,2,153063.36,4.3,93549.08,4,190605.98,5.6,124092.11
VEH-00206,3,118289.74,10.3,116677.79,4,125772.73,11.2,126535.9
VEH-00207,1,55841.44,4.7,40676.65,1,69758.57,5.2,49356.25
VEH-00208,1,48809.21,4.8,3104.96,2,52182.98,6.1,3920.55
VEH-00209,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00210,1,42571.56,2.5,39740.81,3,52405.78,2.8,45868.89
VEH-00211,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00212,1,67168.91,2.2,47749.05,3,85720.81,2.6,53953.06
VEH-00213,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00214,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00215,1,65079.0,1.6,52032.32,1,70206.01,1.8,54934.17
VEH-00216,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00217,1,19318.55,4.9,26245.37,1,22175.93,5.9,34596.68
VEH-00218,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00219,1,61997.7,4.4,11866.16,1,79183.13,5.6,15312.88
VEH-00220,2,94390.44,2.6,9314.61,2,107215.56,2.8,11502.14
VEH-00221,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00222,5,81559.7,9.6,234668.39,6,98211.08,12.3,272950.81
VEH-00223,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00224,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00225,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00226,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00227,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00228,2,110938.78,3.1,108004.98,4,125247.44,3.7,121128.65
VEH-00229,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00230,2,65966.74,2.9,78156.12,3,81728.01,4.0,96793.07
VEH-00231,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00232,1,57812.39,3.7,33270.7,3,66621.79,5.1,39646.23
VEH-00233,1,60184.25,2.2,20983.69,3,75251.38,2.7,27411.68
VEH-00234,1,26482.67,3.4,16739.55,2,33969.59,4.3,19767.45
VEH-00235,2,91476.92,7.3,51164.96,4,102998.51,9.4,63857.17
VEH-00236,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00237,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00238,1,42245.92,3.5,35305.28,2,44498.44,4.0,39702.89
VEH-00239,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00240,1,59380.08,4.8,28047.99,2,73628.68,5.7,30164.85
VEH-00241,1,6978.02,4.7,26627.25,2,8163.32,5.1,33228.59
VEH-00242,1,45398.9,4.5,52326.5,1,48762.89,4.8,70329.39
VEH-00243,2,74319.14,8.7,52622.08,3,89696.94,11.9,67608.25
VEH-00244,2,120499.3,6.1,44436.63,2,148826.13,6.6,55315.41
VEH-00245,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00246,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00247,3,156123.14,9.4,113101.75,3,181690.76,10.0,152024.69
VEH-00248,1,74404.71,2.5,15262.27,1,86726.92,2.9,16867.23
VEH-00249,1,70231.88,4.5,33579.93,3,78555.81,5.1,38538.78
VEH-00250,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00251,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00252,2,137232.25,7.9,97514.87,2,164109.53,10.9,116541.54
VEH-00253,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00254,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00255,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00256,1,50937.14,2.9,19084.89,3,59714.62,3.6,24762.79
VEH-00257,1,7124.35,1.3,34480.25,1,8644.47,1.4,36906.97
VEH-00258,2,55473.62,4.0,33863.57,2,69959.29,4.3,39734.35
VEH-00259,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00260,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00261,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00262,1,45476.89,2.0,30070.39,3,58129.39,2.7,40260.81
VEH-00263,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00264,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00265,1,72362.62,2.5,10417.57,3,82577.78,2.8,12215.94
VEH-00266,2,17627.15,4.3,70691.49,3,22811.61,4.6,92899.54
VEH-00267,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00268,3,52675.06,2.3,152310.29,4,55592.59,2.6,176848.13
VEH-00269,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00270,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00271,1,38112.61,4.8,49997.56,1,44705.63,5.8,54659.64
VEH-00272,1,20368.68,1.2,11574.79,2,22113.36,1.5,14520.81
VEH-00273,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00274,4,151557.7,16.8,98430.94,6,159527.77,20.0,126647.32
VEH-00275,2,113277.65,6.8,87364.17,2,138161.0,8.5,111412.38
VEH-00276,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00277,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00278,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00279,2,143544.89,4.9,35286.23,4,156226.91,6.4,47067.63
VEH-00280,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00281,1,41688.33,4.4,16917.03,1,48012.01,6.1,19909.78
VEH-00282,1,20325.77,0.7,37299.99,2,23568.76,0.8,45584.13
VEH-00283,1,73524.68,1.7,28368.89,3,81198.33,2.2,34684.21
VEH-00284,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00285,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00286,3,190533.44,3.4,58281.07,3,217727.09,4.4,65935.64
VEH-00287,2,27195.68,4.0,46846.34,3,29626.65,4.7,61022.97
VEH-00288,1,5746.12,3.6,26362.26,1,7249.39,4.7,35436.68
VEH-00289,2,141805.46,5.7,75851.19,2,182614.34,7.0,90533.56
VEH-00290,3,46266.79,13.0,61806.48,5,56736.73,13.8,67782.93
VEH-00291,1,18075.46,3.6,49312.82,3,19617.94,3.9,54154.53
VEH-00292,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00293,1,74590.44,1.0,57502.41,2,78787.75,1.3,66267.76
VEH-00294,1,71279.37,1.2,37889.48,3,82085.5,1.4,40462.83
VEH-00295,4,44885.73,13.0,142303.43,4,57301.71,14.7,166867.52
VEH-00296,1,20771.25,0.9,30133.17,1,26953.78,1.1,36938.16
VEH-00297,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00298,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00299,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00300,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00301,2,34522.95,7.0,30944.81,2,42217.02,8.9,34206.13
VEH-00302,1,55397.88,3.8,33693.9,2,70343.72,4.7,44524.32
VEH-00303,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00304,1,46277.17,2.5,15053.06,2,49198.19,3.3,18446.46
VEH-00305,2,21362.05,2.0,43146.72,4,25097.88,2.2,48441.54
VEH-00306,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00307,2,44771.09,1.7,81649.45,4,54701.59,2.2,100135.93
VEH-00308,1,8949.23,3.5,19332.48,2,9610.07,4.0,21103.78
VEH-00309,3,64758.65,12.7,135428.42,4,83572.75,15.5,170275.92
VEH-00310,2,66118.25,9.3,13248.27,4,83946.7,10.9,14924.66
VEH-00311,4,180254.02,14.9,74905.44,6,202581.59,20.6,100581.88
VEH-00312,2,104790.25,2.5,32702.5,4,126276.0,3.4,39105.04
VEH-00313,3,222095.41,7.5,51305.48,3,269259.64,10.4,58720.64
VEH-00314,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00315,1,6118.55,0.8,57850.69,1,7455.85,1.1,72230.44
VEH-00316,1,48592.97,4.0,11201.2,2,55173.36,5.2,14282.7
VEH-00317,1,48504.77,1.9,32662.65,3,58040.85,2.6,35300.71
VEH-00318,2,83878.94,4.2,85523.77,2,96487.8,5.4,108520.45
VEH-00319,1,48015.13,3.7,55977.57,1,58043.04,4.5,65248.24
VEH-00320,1,6883.49,2.2,18510.57,2,8520.82,2.7,24295.95
VEH-00321,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00322,2,141841.59,7.9,100451.94,3,157059.48,10.9,121206.89
VEH-00323,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00324,1,32589.17,2.4,25830.32,1,40942.71,2.7,32654.32
VEH-00325,2,157105.34,6.7,21045.28,4,178458.85,8.1,26788.49
VEH-00326,1,65895.19,1.3,54616.26,2,78447.15,1.7,63625.61
VEH-00327,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00328,1,27760.69,0.6,52244.24,1,31225.41,0.8,67232.15
VEH-00329,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00330,1,37094.21,2.0,51515.05,1,42479.04,2.8,61017.92
VEH-00331,1,30976.82,2.2,9016.43,2,40124.0,3.0,10384.82
VEH-00332,1,7427.97,3.0,19921.85,1,9325.91,4.1,22368.53
VEH-00333,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00334,3,30912.04,6.8,9295.75,3,35034.46,8.7,10336.91
VEH-00335,1,22140.34,0.7,48760.96,3,28358.93,0.8,57670.8
VEH-00336,1,8972.57,1.6,27461.63,1,10885.6,2.2,32841.97
VEH-00337,2,40759.13,1.4,71061.07,4,49145.55,1.5,76756.3
VEH-00338,1,78932.88,0.9,45381.8,1,88407.55,1.1,53108.66
VEH-00339,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00340,1,42064.51,4.3,5391.4,1,53732.22,5.9,7152.65
VEH-00341,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00342,3,61769.08,12.2,105148.58,5,79706.31,13.7,122337.24
VEH-00343,1,44083.53,1.0,31303.01,2,50703.09,1.3,34545.41
VEH-00344,1,34339.92,3.6,15771.58,1,42350.66,4.1,19775.09
VEH-00345,1,8311.01,1.0,30063.45,1,9716.75,1.3,38079.35
VEH-00346,1,78327.29,4.5,41584.5,2,100190.51,4.9,44978.53
VEH-00347,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00348,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00349,1,79633.34,4.8,43991.89,3,96722.38,6.0,54719.46
VEH-00350,1,38976.68,3.4,35324.21,3,44086.58,4.1,40471.9
VEH-00351,3,163586.23,4.1,105153.5,5,192070.05,5.6,131749.21
VEH-00352,1,42294.12,3.1,51621.24,2,48700.58,3.4,68865.42
VEH-00353,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00354,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00355,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00356,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00357,1,46300.91,4.0,27616.92,2,48651.41,5.4,33365.54
VEH-00358,2,127206.99,5.1,110905.25,3,161299.32,5.6,141906.47
VEH-00359,1,21290.18,2.1,41798.12,1,26921.37,2.5,46002.43
VEH-00360,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00361,0,0.0,0.0,0.0,1,0.0,0.0,0.0
VEH-00362,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00363,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VEH-00364,1,38551.38,1.1,35530.74,1,42062.61,1.4,44819.96
VEH-00365,0,0.0,0.0,0.0,2,0.0,0.0,0.0
VEH-00366,1,43070.64,1.8,3540.71,1,49022.36,1.9,4458.01
VEH-00367,3,218975.5,6.1,164989.65,4,265243.19,7.0,215854.58
VEH-00368,0,0.0,0.0,0.0,1,0.0,0.0,0.0
