maintenance_id,vehicle_id,maintenance_date,maintenance_type,maintenance_code,cost_inr,downtime_days,description,now_maint_count,now_total_maint_cost,now_avg_parts_cost,now_avg_labor_cost,now_total_downtime_days,future_maint_count,future_total_maint_cost,future_avg_parts_cost,future_avg_labor_cost,future_total_downtime_days
MNT-000033,VEH-00025,2023-11-12,Overhaul,EM-001,300.0,12.3,Transmission fluid change,2,600.0,165.0,135.0,26.4,2,671.71,181.5,148.5,37.9
MNT-000034,VEH-00025,2024-03-28,Overhaul,CM-001,300.0,14.1,Air filter replacement,2,600.0,165.0,135.0,26.4,2,830.8,181.5,148.5,37.9
MNT-000035,VEH-00026,2024-03-24,Emergency,OVH-002,300.0,12.9,Hydraulic system check,1,300.0,165.0,135.0,12.9,1,416.91,181.5,148.5,16.9
MNT-000036,VEH-00027,2022-01-28,Inspection,EM-001,300.0,5.8,Battery check and replacement,1,300.0,165.0,135.0,5.8,1,402.76,181.5,148.5,6.8
MNT-000037,VEH-00029,2023-06-29,Corrective,OVH-001,300.0,12.3,Brake pad replacement,3,900.0,165.0,135.0,29.4,4,1072.25,181.5,148.5,44.8
MNT-000038,VEH-00029,2023-06-27,Overhaul,CM-002,300.0,13.5,Clutch adjustment,3,900.0,165.0,135.0,29.4,4,1016.37,181.5,148.5,44.8
MNT-000039,VEH-00029,2022-08-27,Emergency,INS-001,300.0,3.6,Brake pad replacement,3,900.0,165.0,135.0,29.4,4,1174.74,181.5,148.5,44.8
MNT-000040,VEH-00030,2024-07-16,Overhaul,OVH-001,300.0,11.7,Hydraulic system check,2,600.0,165.0,135.0,22.2,2,739.23,181.5,148.5,29.6
MNT-000041,VEH-00030,2022-08-02,Preventive,PM-001,300.0,10.5,Battery check and replacement,2,600.0,165.0,135.0,22.2,2,681.97,181.5,148.5,29.6
MNT-000042,VEH-00031,2024-10-12,Overhaul,INS-001,300.0,2.6,Battery check and replacement,1,300.0,165.0,135.0,2.6,1,374.57,181.5,148.5,2.9
MNT-000043,VEH-00032,2022-06-12,Emergency,OVH-002,300.0,14.0,Fuel system cleaning,3,900.0,165.0,135.0,41.3,4,999.28,181.5,148.5,64.7
MNT-000044,VEH-00032,2023-10-14,Corrective,CM-002,300.0,14.6,Fuel system cleaning,3,900.0,165.0,135.0,41.3,4,1235.52,181.5,148.5,64.7
MNT-000045,VEH-00032,2022-12-27,Inspection,OVH-002,300.0,12.7,Annual safety inspection,3,900.0,165.0,135.0,41.3,4,1059.87,181.5,148.5,64.7
MNT-000046,VEH-00033,2022-04-10,Preventive,OVH-002,300.0,14.5,Engine oil and filter replacement,2,600.0,165.0,135.0,26.9,3,779.25,181.5,148.5,32.6
MNT-000047,VEH-00033,2024-12-19,Inspection,INS-001,300.0,12.4,Hydraulic system check,2,600.0,165.0,135.0,26.9,3,716.11,181.5,148.5,32.6
MNT-000048,VEH-00034,2024-06-29,Inspection,OVH-002,300.0,6.7,Suspension overhaul,2,600.0,165.0,135.0,8.8,2,753.61,181.5,148.5,12.3
MNT-000049,VEH-00034,2024-04-12,Corrective,CM-002,300.0,2.1,Brake pad replacement,2,600.0,165.0,135.0,8.8,2,758.41,181.5,148.5,12.3
MNT-000050,VEH-00035,2022-04-06,Emergency,CM-001,300.0,14.0,Tyre rotation and alignment,2,600.0,165.0,135.0,24.0,3,693.27,181.5,148.5,37.1
MNT-000051,VEH-00035,2022-02-20,Emergency,INS-001,300.0,10.0,Brake pad replacement,2,600.0,165.0,135.0,24.0,3,834.53,181.5,148.5,37.1
MNT-000052,VEH-00037,2022-03-16,Preventive,CM-001,300.0,10.4,Coolant flush and refill,1,300.0,165.0,135.0,10.4,1,399.76,181.5,148.5,15.8
MNT-000053,VEH-00038,2022-05-15,Emergency,CM-001,300.0,10.1,AC servicing,1,300.0,165.0,135.0,10.1,1,414.55,181.5,148.5,15.5
MNT-000054,VEH-00040,2022-09-03,Inspection,PM-001,300.0,3.8,Battery check and replacement,1,300.0,165.0,135.0,3.8,1,410.53,181.5,148.5,5.7
MNT-000055,VEH-00042,2023-03-22,Inspection,PM-002,300.0,2.9,Brake pad replacement,3,900.0,165.0,135.0,9.3,3,1151.43,181.5,148.5,10.9
MNT-000056,VEH-00042,2023-02-11,Preventive,CM-002,300.0,5.5,Coolant flush and refill,3,900.0,165.0,135.0,9.3,3,1238.91,181.5,148.5,10.9
MNT-000057,VEH-00042,2024-11-27,Inspection,CM-001,300.0,0.9,Transmission fluid change,3,900.0,165.0,135.0,9.3,3,1013.89,181.5,148.5,10.9
MNT-000058,VEH-00044,2024-09-19,Corrective,INS-001,300.0,5.9,Radiator flush,1,300.0,165.0,135.0,5.9,1,347.64,181.5,148.5,8.0
MNT-000059,VEH-00045,2023-03-13,Corrective,CM-001,300.0,9.8,Emergency breakdown repair,2,600.0,165.0,135.0,19.0,3,668.14,181.5,148.5,26.3
MNT-000060,VEH-00045,2023-04-10,Overhaul,CM-002,300.0,9.2,Transmission fluid change,2,600.0,165.0,135.0,19.0,3,718.56,181.5,148.5,26.3
MNT-000061,VEH-00046,2022-01-03,Emergency,INS-001,300.0,10.5,Hydraulic system check,1,300.0,165.0,135.0,10.5,1,364.98,181.5,148.5,16.6
MNT-000062,VEH-00048,2023-12-27,Corrective,CM-001,300.0,6.7,Chassis lubrication,2,600.0,165.0,135.0,20.4,2,708.84,181.5,148.5,30.1
MNT-000063,VEH-00048,2023-12-18,Preventive,OVH-002,300.0,13.7,Emergency breakdown repair,2,600.0,165.0,135.0,20.4,2,809.17,181.5,148.5,30.1
MNT-000064,VEH-00049,2022-04-04,Overhaul,CM-001,300.0,7.7,Battery check and replacement,1,300.0,165.0,135.0,7.7,1,362.11,181.5,148.5,12.2
MNT-000065,VEH-00050,2024-11-01,Corrective,CM-002,300.0,1.9,Annual safety inspection,1,300.0,165.0,135.0,1.9,1,355.28,181.5,148.5,2.5
MNT-000066,VEH-00052,2022-09-13,Corrective,OVH-001,300.0,9.8,Hydraulic system check,2,600.0,165.0,135.0,22.5,3,757.69,181.5,148.5,35.1
MNT-000067,VEH-00052,2023-01-10,Preventive,OVH-002,300.0,12.7,Clutch adjustment,2,600.0,165.0,135.0,22.5,3,685.37,181.5,148.5,35.1
MNT-000068,VEH-00053,2023-06-21,Overhaul,EM-001,300.0,7.4,Suspension overhaul,1,300.0,165.0,135.0,7.4,1,402.2,181.5,148.5,10.0
MNT-000069,VEH-00054,2024-06-25,Emergency,CM-001,300.0,14.7,AC servicing,1,300.0,165.0,135.0,14.7,1,336.71,181.5,148.5,19.8
MNT-000070,VEH-00055,2022-11-09,Corrective,CM-001,300.0,7.9,Battery check and replacement,2,600.0,165.0,135.0,22.8,2,837.64,181.5,148.5,25.3
MNT-000071,VEH-00055,2023-08-22,Emergency,CM-001,300.0,14.9,Coolant flush and refill,2,600.0,165.0,135.0,22.8,2,799.0,181.5,148.5,25.3
MNT-000072,VEH-00056,2023-01-13,Corrective,INS-001,300.0,6.0,Suspension overhaul,3,900.0,165.0,135.0,14.4,4,1043.65,181.5,148.5,17.7
MNT-000073,VEH-00056,2023-03-09,Emergency,PM-001,300.0,4.0,Annual safety inspection,3,900.0,165.0,135.0,14.4,4,991.49,181.5,148.5,17.7
MNT-000074,VEH-00056,2023-05-17,Preventive,PM-002,300.0,4.4,Annual safety inspection,3,900.0,165.0,135.0,14.4,4,1210.17,181.5,148.5,17.7
MNT-000075,VEH-00057,2023-07-19,Preventive,CM-002,300.0,10.2,Hydraulic system check,1,300.0,165.0,135.0,10.2,1,393.62,181.5,148.5,15.4
MNT-000076,VEH-00058,2023-09-17,Preventive,INS-001,300.0,13.4,Tyre rotation and alignment,1,300.0,165.0,135.0,13.4,1,395.61,181.5,148.5,16.3
MNT-000077,VEH-00059,2023-03-27,Inspection,CM-001,300.0,1.3,Electrical wiring inspection,2,600.0,165.0,135.0,7.399999999999999,2,798.83,181.5,148.5,9.3
MNT-000078,VEH-00059,2024-03-28,Corrective,OVH-002,300.0,6.1,Suspension overhaul,2,600.0,165.0,135.0,7.399999999999999,2,673.33,181.5,148.5,9.3
MNT-000079,VEH-00060,2023-07-21,Inspection,PM-001,300.0,4.1,Tyre rotation and alignment,1,300.0,165.0,135.0,4.1,1,362.26,181.5,148.5,5.1
MNT-000080,VEH-00061,2022-12-23,Preventive,INS-001,300.0,14.7,Fuel system cleaning,2,600.0,165.0,135.0,19.1,2,680.86,181.5,148.5,23.5
MNT-000081,VEH-00061,2022-05-28,Preventive,INS-001,300.0,4.4,Tyre rotation and alignment,2,600.0,165.0,135.0,19.1,2,815.36,181.5,148.5,23.5
MNT-000082,VEH-00062,2024-02-09,Overhaul,CM-002,300.0,7.0,Annual safety inspection,1,300.0,165.0,135.0,7.0,1,386.1,181.5,148.5,9.6
MNT-000083,VEH-00063,2024-01-03,Corrective,PM-001,300.0,0.5,Coolant flush and refill,1,300.0,165.0,135.0,0.5,1,359.78,181.5,148.5,0.7
MNT-000084,VEH-00064,2022-02-07,Emergency,CM-001,300.0,2.8,Engine oil and filter replacement,3,900.0,165.0,135.0,22.700000000000003,4,1007.16,181.5,148.5,27.2
MNT-000085,VEH-00064,2022-05-26,Overhaul,OVH-002,300.0,11.1,Tyre rotation and alignment,3,900.0,165.0,135.0,22.700000000000003,4,1073.97,181.5,148.5,27.2
MNT-000086,VEH-00064,2022-11-03,Emergency,PM-002,300.0,8.8,Clutch adjustment,3,900.0,165.0,135.0,22.700000000000003,4,1077.8,181.5,148.5,27.2
MNT-000087,VEH-00065,2024-04-06,Inspection,OVH-002,300.0,8.7,Chassis lubrication,3,900.0,165.0,135.0,26.3,4,1186.99,181.5,148.5,37.5
MNT-000088,VEH-00065,2024-08-29,Corrective,PM-002,300.0,7.6,Annual safety inspection,3,900.0,165.0,135.0,26.3,4,1162.14,181.5,148.5,37.5
MNT-000089,VEH-00065,2023-04-19,Preventive,CM-001,300.0,10.0,Engine oil and filter replacement,3,900.0,165.0,135.0,26.3,4,1229.55,181.5,148.5,37.5
MNT-000090,VEH-00066,2024-07-31,Emergency,OVH-002,300.0,6.6,Hydraulic system check,1,300.0,165.0,135.0,6.6,1,372.5,181.5,148.5,9.7
MNT-000091,VEH-00067,2023-03-02,Overhaul,EM-001,300.0,9.2,Air filter replacement,1,300.0,165.0,135.0,9.2,1,340.76,181.5,148.5,12.4
MNT-000092,VEH-00069,2023-11-05,Emergency,CM-002,300.0,7.9,Suspension overhaul,1,300.0,165.0,135.0,7.9,1,394.19,181.5,148.5,10.4
MNT-000093,VEH-00070,2023-01-08,Corrective,PM-002,300.0,2.8,Tyre rotation and alignment,1,300.0,165.0,135.0,2.8,1,398.47,181.5,148.5,4.2
MNT-000094,VEH-00071,2023-12-22,Preventive,INS-001,300.0,6.0,Electrical wiring inspection,2,600.0,165.0,135.0,7.2,3,761.03,181.5,148.5,8.9
MNT-000095,VEH-00071,2024-07-23,Emergency,OVH-002,300.0,1.2,Coolant flush and refill,2,600.0,165.0,135.0,7.2,3,798.77,181.5,148.5,8.9
MNT-000096,VEH-00072,2024-05-11,Overhaul,OVH-002,300.0,5.0,Clutch adjustment,1,300.0,165.0,135.0,5.0,1,374.44,181.5,148.5,7.1
MNT-000097,VEH-00073,2024-10-13,Inspection,EM-001,300.0,9.1,Electrical wiring inspection,1,300.0,165.0,135.0,9.1,1,377.05,181.5,148.5,10.9
MNT-000098,VEH-00075,2022-07-02,Inspection,CM-002,300.0,5.5,Brake pad replacement,1,300.0,165.0,135.0,5.5,1,368.48,181.5,148.5,7.9
MNT-000099,VEH-00076,2023-06-11,Emergency,PM-001,300.0,4.0,Suspension overhaul,2,600.0,165.0,135.0,15.2,2,664.58,181.5,148.5,22.3
MNT-000100,VEH-00076,2023-03-28,Inspection,CM-002,300.0,11.2,Fuel system cleaning,2,600.0,165.0,135.0,15.2,2,679.42,181.5,148.5,22.3
MNT-000101,VEH-00077,2024-05-23,Overhaul,CM-001,300.0,6.9,Battery check and replacement,2,600.0,165.0,135.0,10.4,2,665.66,181.5,148.5,16.0
MNT-000102,VEH-00077,2024-01-04,Corrective,OVH-001,300.0,3.5,Radiator flush,2,600.0,165.0,135.0,10.4,2,774.55,181.5,148.5,16.0
MNT-000103,VEH-00078,2024-08-12,Preventive,CM-001,300.0,2.1,Chassis lubrication,2,600.0,165.0,135.0,8.8,3,716.58,181.5,148.5,12.1
MNT-000104,VEH-00078,2022-11-26,Inspection,OVH-001,300.0,6.7,Hydraulic system check,2,600.0,165.0,135.0,8.8,3,751.54,181.5,148.5,12.1
MNT-000105,VEH-00079,2022-06-10,Emergency,EM-001,300.0,9.5,Suspension overhaul,1,300.0,165.0,135.0,9.5,1,411.68,181.5,148.5,12.3
MNT-000106,VEH-00080,2024-03-16,Emergency,EM-001,300.0,6.8,Electrical wiring inspection,3,900.0,165.0,135.0,25.8,4,1057.31,181.5,148.5,39.9
MNT-000107,VEH-00080,2023-11-08,Emergency,EM-001,300.0,5.0,Fuel system cleaning,3,900.0,165.0,135.0,25.8,4,1100.8,181.5,148.5,39.9
MNT-000108,VEH-00080,2022-05-30,Emergency,PM-002,300.0,14.0,Hydraulic system check,3,900.0,165.0,135.0,25.8,4,1194.0,181.5,148.5,39.9
MNT-000109,VEH-00081,2023-05-12,Emergency,EM-001,300.0,4.6,Fuel system cleaning,2,600.0,165.0,135.0,14.9,3,701.18,181.5,148.5,17.2
MNT-000110,VEH-00081,2024-04-19,Emergency,PM-001,300.0,10.3,Transmission fluid change,2,600.0,165.0,135.0,14.9,3,673.86,181.5,148.5,17.2
MNT-000111,VEH-00082,2022-10-27,Corrective,PM-001,300.0,7.8,Coolant flush and refill,2,600.0,165.0,135.0,10.6,3,712.16,181.5,148.5,16.4
MNT-000112,VEH-00082,2024-09-03,Corrective,EM-001,300.0,2.8,Engine oil and filter replacement,2,600.0,165.0,135.0,10.6,3,689.02,181.5,148.5,16.4
MNT-000113,VEH-00085,2024-07-01,Corrective,PM-001,300.0,2.2,Annual safety inspection,2,600.0,165.0,135.0,15.0,3,827.35,181.5,148.5,22.6
MNT-000114,VEH-00085,2022-03-30,Inspection,INS-001,300.0,12.8,Radiator flush,2,600.0,165.0,135.0,15.0,3,805.46,181.5,148.5,22.6
MNT-000115,VEH-00086,2023-01-30,Emergency,OVH-001,300.0,7.4,Coolant flush and refill,1,300.0,165.0,135.0,7.4,1,387.01,181.5,148.5,10.0
MNT-000116,VEH-00087,2022-09-15,Preventive,CM-002,300.0,4.9,Clutch adjustment,1,300.0,165.0,135.0,4.9,1,408.43,181.5,148.5,6.7
MNT-000117,VEH-00088,2023-09-16,Inspection,PM-002,300.0,9.4,Brake pad replacement,1,300.0,165.0,135.0,9.4,1,402.33,181.5,148.5,12.3
MNT-000118,VEH-00089,2022-02-26,Corrective,INS-001,300.0,11.8,AC servicing,2,600.0,165.0,135.0,20.0,2,693.58,181.5,148.5,23.4
MNT-000119,VEH-00089,2024-08-03,Emergency,OVH-001,300.0,8.2,Air filter replacement,2,600.0,165.0,135.0,20.0,2,820.66,181.5,148.5,23.4
MNT-000120,VEH-00090,2023-01-25,Emergency,INS-001,300.0,12.7,Engine oil and filter replacement,2,600.0,165.0,135.0,17.0,3,757.08,181.5,148.5,26.4
MNT-000121,VEH-00090,2024-05-31,Preventive,CM-002,300.0,4.3,Radiator flush,2,600.0,165.0,135.0,17.0,3,805.34,181.5,148.5,26.4
MNT-000122,VEH-00092,2023-09-04,Corrective,EM-001,300.0,6.2,Hydraulic system check,2,600.0,165.0,135.0,14.7,3,821.3,181.5,148.5,19.0
MNT-000123,VEH-00092,2022-06-23,Preventive,CM-002,300.0,8.5,Brake pad replacement,2,600.0,165.0,135.0,14.7,3,717.24,181.5,148.5,19.0
MNT-000124,VEH-00093,2023-02-24,Emergency,CM-001,300.0,6.4,Coolant flush and refill,1,300.0,165.0,135.0,6.4,1,339.9,181.5,148.5,9.4
MNT-000125,VEH-00094,2022-03-10,Corrective,CM-002,300.0,4.7,Fuel system cleaning,2,600.0,165.0,135.0,8.6,2,701.03,181.5,148.5,13.5
MNT-000126,VEH-00094,2024-04-12,Corrective,PM-002,300.0,3.9,Emergency breakdown repair,2,600.0,165.0,135.0,8.6,2,736.88,181.5,148.5,13.5
MNT-000127,VEH-00095,2024-05-01,Overhaul,OVH-001,300.0,8.3,Engine oil and filter replacement,3,900.0,165.0,135.0,34.0,4,1210.86,181.5,148.5,47.2
MNT-000128,VEH-00095,2022-03-08,Overhaul,INS-001,300.0,13.5,Fuel system cleaning,3,900.0,165.0,135.0,34.0,4,1222.4,181.5,148.5,47.2
MNT-000129,VEH-00095,2024-02-21,Overhaul,PM-001,300.0,12.2,Tyre rotation and alignment,3,900.0,165.0,135.0,34.0,4,991.88,181.5,148.5,47.2
MNT-000130,VEH-00096,2024-09-24,Inspection,EM-001,300.0,4.3,Brake pad replacement,2,600.0,165.0,135.0,8.1,3,751.93,181.5,148.5,12.2
MNT-000131,VEH-00096,2023-09-11,Corrective,INS-001,300.0,3.8,Radiator flush,2,600.0,165.0,135.0,8.1,3,735.13,181.5,148.5,12.2
MNT-000132,VEH-00097,2022-04-07,Corrective,CM-001,300.0,9.3,Fuel system cleaning,2,600.0,165.0,135.0,20.700000000000003,3,699.98,181.5,148.5,26.8
MNT-000133,VEH-00097,2024-05-14,Inspection,INS-001,300.0,11.4,Transmission fluid change,2,600.0,165.0,135.0,20.700000000000003,3,681.58,181.5,148.5,26.8
MNT-000134,VEH-00098,2023-02-12,Corrective,CM-001,300.0,2.7,Hydraulic system check,1,300.0,165.0,135.0,2.7,1,360.39,181.5,148.5,3.5
MNT-000135,VEH-00099,2022-01-20,Corrective,PM-001,300.0,6.3,Battery check and replacement,2,600.0,165.0,135.0,10.0,2,829.72,181.5,148.5,11.3
MNT-000136,VEH-00099,2023-03-18,Corrective,PM-001,300.0,3.7,Fuel system cleaning,2,600.0,165.0,135.0,10.0,2,718.18,181.5,148.5,11.3
MNT-000137,VEH-00100,2024-04-16,Inspection,OVH-002,300.0,10.5,Clutch adjustment,2,600.0,165.0,135.0,17.2,2,753.38,181.5,148.5,24.5
MNT-000138,VEH-00100,2024-07-23,Emergency,PM-001,300.0,6.7,Annual safety inspection,2,600.0,165.0,135.0,17.2,2,786.54,181.5,148.5,24.5
MNT-000139,VEH-00101,2023-12-13,Emergency,CM-002,300.0,1.3,Fuel system cleaning,1,300.0,165.0,135.0,1.3,1,362.73,181.5,148.5,1.6
MNT-000140,VEH-00102,2024-01-29,Corrective,PM-001,300.0,13.6,Hydraulic system check,1,300.0,165.0,135.0,13.6,1,417.46,181.5,148.5,21.4
MNT-000141,VEH-00104,2023-06-14,Inspection,CM-001,300.0,3.6,Coolant flush and refill,2,600.0,165.0,135.0,17.8,3,833.24,181.5,148.5,21.2
MNT-000142,VEH-00104,2022-04-06,Corrective,EM-001,300.0,14.2,Engine oil and filter replacement,2,600.0,165.0,135.0,17.8,3,705.32,181.5,148.5,21.2
MNT-000143,VEH-00105,2022-07-06,Inspection,CM-001,300.0,10.1,Coolant flush and refill,2,600.0,165.0,135.0,22.4,3,749.5,181.5,148.5,34.5
MNT-000144,VEH-00105,2023-08-23,Preventive,INS-001,300.0,12.3,Clutch adjustment,2,600.0,165.0,135.0,22.4,3,714.16,181.5,148.5,34.5
MNT-000145,VEH-00106,2023-06-15,Overhaul,OVH-002,300.0,14.4,Annual safety inspection,1,300.0,165.0,135.0,14.4,1,355.64,181.5,148.5,18.1
MNT-000146,VEH-00107,2024-10-11,Emergency,EM-001,300.0,9.5,Transmission fluid change,1,300.0,165.0,135.0,9.5,1,333.32,181.5,148.5,14.1
MNT-000147,VEH-00108,2023-06-25,Preventive,OVH-001,300.0,8.4,Emergency breakdown repair,2,600.0,165.0,135.0,21.5,3,769.72,181.5,148.5,30.8
MNT-000148,VEH-00108,2022-11-12,Inspection,CM-001,300.0,13.1,Tyre rotation and alignment,2,600.0,165.0,135.0,21.5,3,750.48,181.5,148.5,30.8
MNT-000149,VEH-00109,2023-01-04,Corrective,INS-001,300.0,12.1,Suspension overhaul,1,300.0,165.0,135.0,12.1,1,334.63,181.5,148.5,17.9
MNT-000150,VEH-00110,2024-02-29,Inspection,EM-001,300.0,13.8,Coolant flush and refill,2,600.0,165.0,135.0,20.8,3,710.16,181.5,148.5,25.9
MNT-000151,VEH-00110,2023-05-22,Inspection,CM-002,300.0,7.0,Tyre rotation and alignment,2,600.0,165.0,135.0,20.8,3,823.49,181.5,148.5,25.9
MNT-000152,VEH-00111,2023-01-17,Preventive,CM-001,300.0,14.7,Battery check and replacement,2,600.0,165.0,135.0,20.2,2,703.12,181.5,148.5,31.6
MNT-000153,VEH-00111,2024-12-23,Inspection,PM-001,300.0,5.5,Clutch adjustment,2,600.0,165.0,135.0,20.2,2,686.08,181.5,148.5,31.6
MNT-000154,VEH-00112,2022-04-13,Preventive,OVH-002,300.0,13.0,Annual safety inspection,2,600.0,165.0,135.0,18.6,2,748.1,181.5,148.5,25.9
MNT-000155,VEH-00112,2023-08-20,Preventive,CM-002,300.0,5.6,Fuel system cleaning,2,600.0,165.0,135.0,18.6,2,837.42,181.5,148.5,25.9
MNT-000156,VEH-00113,2023-12-28,Corrective,INS-001,300.0,13.5,Battery check and replacement,1,300.0,165.0,135.0,13.5,1,351.78,181.5,148.5,15.8
MNT-000157,VEH-00114,2024-10-08,Preventive,CM-001,300.0,13.6,Air filter replacement,1,300.0,165.0,135.0,13.6,1,390.49,181.5,148.5,15.1
MNT-000158,VEH-00115,2023-06-06,Corrective,CM-002,300.0,3.1,Engine oil and filter replacement,1,300.0,165.0,135.0,3.1,1,398.55,181.5,148.5,4.2
MNT-000159,VEH-00117,2024-01-09,Emergency,CM-001,300.0,5.9,Air filter replacement,1,300.0,165.0,135.0,5.9,1,351.39,181.5,148.5,8.2
MNT-000160,VEH-00118,2023-10-19,Emergency,OVH-001,300.0,3.3,AC servicing,2,600.0,165.0,135.0,8.0,3,791.08,181.5,148.5,10.7
MNT-000161,VEH-00118,2022-01-04,Overhaul,CM-002,300.0,4.7,Electrical wiring inspection,2,600.0,165.0,135.0,8.0,3,726.2,181.5,148.5,10.7
