vehicle_id,vehicle_type,make,model_name,model_year,department,fuel_type,purchase_price_inr,odometer_km,vehicle_age_yrs,status_now,status_future,fleet_degradation_now,fleet_degradation_future
VEH-00049,Fire Engine,Ashok Leyland,Dost Strong,2013,FIRE DEPARTMENT,CNG,5622000,77445,11,Under Maintenance,Under Maintenance,0.4684,0.5063
VEH-00050,Water Tanker,Tata,TIPPER 1618,2012,WATER DEPARTMENT,Diesel,3403000,137927,12,Under Maintenance,Under Maintenance,0.7208,0.795
VEH-00051,Street Sweeper,Tata,LPT 1613,2021,PUBLIC WORKS,Electric,3253000,61851,3,In Service,Under Maintenance,0.3109,0.4058
VEH-00052,Motorcycle,Royal Enfield,Bullet 350,2023,POLICE DEPARTMENT,Diesel,2213000,44647,1,Active,Active,0.2314,0.3406
VEH-00053,Garbage Truck,Ashok Leyland,Captain 3520,2014,PUBLIC WORKS,Diesel,2776000,142692,10,In Service,In Service,0.7251,0.8065
VEH-00054,Street Sweeper,Tata,LPT 1613,2022,PUBLIC WORKS,Diesel,5570000,49437,2,Under Maintenance,Under Maintenance,0.2796,0.371
VEH-00055,Patrol Car,Maruti Suzuki,Swift Dzire,2016,POLICE DEPARTMENT,CNG,5280000,74862,8,Active,Active,0.3643,0.4582
VEH-00056,Road Roller,CASE,SV210D,2012,PUBLIC WORKS,Diesel,1565000,36240,12,Active,Active,0.1929,0.2244
VEH-00057,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2015,WATER DEPARTMENT,Diesel,2644000,94018,9,Active,Active,0.4726,0.5875
VEH-00058,Inspection Van,Maruti Suzuki,Eeco,2019,WATER DEPARTMENT,CNG,3820000,100280,5,In Service,In Service,0.5266,0.589
VEH-00059,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2017,WATER DEPARTMENT,CNG,1381000,63006,7,In Service,In Service,0.3399,0.3859
VEH-00061,Rescue Van,Force Motors,Traveller,2023,FIRE DEPARTMENT,Diesel,3841000,77893,1,Active,In Service,0.4559,0.5519
VEH-00063,Street Sweeper,Tata,LPT 1613,2014,PUBLIC WORKS,Petrol,5293000,98786,10,Under Maintenance,Under Maintenance,0.4832,0.578
VEH-00066,Fire Engine,Ashok Leyland,Dost Strong,2022,FIRE DEPARTMENT,Diesel,3543000,111404,2,Active,In Service,0.6181,0.6869
VEH-00067,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2022,WATER DEPARTMENT,Electric,2405000,74693,2,Active,Active,0.3719,0.4907
VEH-00068,SUV,Toyota,Innova Crysta,2019,POLICE DEPARTMENT,Diesel,3886000,47017,5,Active,Active,0.2687,0.3884
VEH-00069,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2014,WATER DEPARTMENT,Petrol,5989000,70381,10,Under Maintenance,Under Maintenance,0.3863,0.4388
VEH-00070,Road Roller,CASE,SV210D,2018,PUBLIC WORKS,Diesel,1843000,78213,6,Under Maintenance,Under Maintenance,0.4737,0.5472
VEH-00071,Prison Van,Tata,Winger,2023,POLICE DEPARTMENT,Petrol,4563000,64896,1,Active,Active,0.3411,0.423
VEH-00072,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2014,WATER DEPARTMENT,Petrol,4503000,78740,10,Active,In Service,0.4794,0.5666
VEH-00073,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2015,WATER DEPARTMENT,Diesel,4858000,118617,9,In Service,In Service,0.5828,0.6518
VEH-00074,Dump Truck,BharatBenz,1617R,2020,PUBLIC WORKS,Diesel,3075000,49826,4,In Service,In Service,0.3047,0.3819
VEH-00075,Patrol Car,Maruti Suzuki,Swift Dzire,2015,POLICE DEPARTMENT,CNG,856000,60305,9,Active,In Service,0.3387,0.4186
VEH-00076,SUV,Toyota,Innova Crysta,2014,POLICE DEPARTMENT,Diesel,5501000,83913,10,Active,Active,0.564,0.6289
VEH-00077,Patrol Car,Maruti Suzuki,Swift Dzire,2016,POLICE DEPARTMENT,CNG,2141000,36267,8,In Service,In Service,0.2256,0.2844
VEH-00078,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2018,WATER DEPARTMENT,Petrol,2885000,43678,6,Active,In Service,0.2627,0.3499
VEH-00080,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2015,WATER DEPARTMENT,Diesel,5334000,113697,9,In Service,In Service,0.664,0.7815
VEH-00081,Garbage Truck,Ashok Leyland,Captain 3520,2019,PUBLIC WORKS,Diesel,4377000,43366,5,Active,Active,0.2315,0.2953
VEH-00082,SUV,Toyota,Innova Crysta,2015,POLICE DEPARTMENT,Petrol,3087000,114039,9,Active,Active,0.57,0.6176
VEH-00084,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2021,WATER DEPARTMENT,Electric,3044000,33446,3,In Service,Under Maintenance,0.2084,0.2975
VEH-00087,Prison Van,Tata,Winger,2014,POLICE DEPARTMENT,Diesel,3942000,94305,10,Active,Active,0.5015,0.576
VEH-00088,Prison Van,Tata,Winger,2012,POLICE DEPARTMENT,Diesel,1246000,95538,12,In Service,In Service,0.4788,0.549
VEH-00089,Road Roller,CASE,SV210D,2016,PUBLIC WORKS,Electric,910000,65806,8,Active,Active,0.4094,0.5243
VEH-00090,Aerial Ladder Truck,Tata,LPT 2518,2020,FIRE DEPARTMENT,Diesel,825000,9021,4,Under Maintenance,Under Maintenance,0.1559,0.1876
VEH-00091,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2013,WATER DEPARTMENT,Diesel,1383000,47953,11,Active,In Service,0.3122,0.3777
VEH-00092,SUV,Toyota,Innova Crysta,2023,POLICE DEPARTMENT,Petrol,1513000,94923,1,In Service,In Service,0.5361,0.5968
VEH-00093,SUV,Toyota,Innova Crysta,2018,POLICE DEPARTMENT,Diesel,4315000,67354,6,Active,In Service,0.4125,0.4626
VEH-00094,Rescue Van,Force Motors,Traveller,2016,FIRE DEPARTMENT,Diesel,2904000,72860,8,Under Maintenance,Under Maintenance,0.3842,0.4634
VEH-00095,Prison Van,Tata,Winger,2013,POLICE DEPARTMENT,Diesel,1032000,58867,11,Active,Active,0.371,0.4562
VEH-00096,Water Tender,Tata,ULTRA 812,2019,FIRE DEPARTMENT,Petrol,1781000,83690,5,Active,Active,0.4743,0.5052
VEH-00097,Rescue Van,Force Motors,Traveller,2022,FIRE DEPARTMENT,Diesel,3463000,82074,2,Active,Active,0.4177,0.5086
VEH-00098,Aerial Ladder Truck,Tata,LPT 2518,2017,FIRE DEPARTMENT,Diesel,4030000,147155,7,Active,Active,0.8088,0.8733
VEH-00099,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2015,WATER DEPARTMENT,CNG,5926000,70659,9,Active,Active,0.4604,0.5735
VEH-00100,Inspection Van,Maruti Suzuki,Eeco,2015,WATER DEPARTMENT,Diesel,3498000,61492,9,In Service,In Service,0.2725,0.3695
VEH-00101,Water Tanker,Tata,TIPPER 1618,2013,WATER DEPARTMENT,Petrol,1419000,53489,11,Active,Active,0.3041,0.3804
VEH-00102,Patrol Car,Maruti Suzuki,Swift Dzire,2014,POLICE DEPARTMENT,Diesel,4167000,50129,10,Active,Active,0.2635,0.3791
VEH-00104,Aerial Ladder Truck,Tata,LPT 2518,2014,FIRE DEPARTMENT,Diesel,2583000,98787,10,Active,Active,0.5925,0.6952
VEH-00105,Street Sweeper,Tata,LPT 1613,2016,PUBLIC WORKS,Petrol,4226000,19322,8,In Service,In Service,0.1729,0.289
VEH-00107,Water Tender,Tata,ULTRA 812,2017,FIRE DEPARTMENT,Diesel,904000,67755,7,Under Maintenance,Under Maintenance,0.3019,0.3382
VEH-00108,Patrol Car,Maruti Suzuki,Swift Dzire,2017,POLICE DEPARTMENT,Diesel,1875000,84093,7,Active,Active,0.4785,0.5274
VEH-00110,Inspection Van,Maruti Suzuki,Eeco,2017,WATER DEPARTMENT,Diesel,4468000,32415,7,Active,In Service,0.2024,0.2468
VEH-00112,Inspection Van,Maruti Suzuki,Eeco,2018,WATER DEPARTMENT,Diesel,1287000,103400,6,In Service,Under Maintenance,0.4742,0.5474
VEH-00113,Tipper Truck,Tata,Prima 3130.K,2018,PUBLIC WORKS,Petrol,1505000,97080,6,In Service,In Service,0.5465,0.6182
VEH-00114,Motorcycle,Royal Enfield,Bullet 350,2015,POLICE DEPARTMENT,Diesel,5231000,27123,9,Active,Active,0.1878,0.2918
VEH-00115,Patrol Car,Maruti Suzuki,Swift Dzire,2013,POLICE DEPARTMENT,Diesel,3881000,93595,11,Active,Active,0.5175,0.5915
VEH-00116,Garbage Truck,Ashok Leyland,Captain 3520,2022,PUBLIC WORKS,CNG,3454000,42389,2,Active,Active,0.3072,0.4154
VEH-00117,Motorcycle,Royal Enfield,Bullet 350,2018,POLICE DEPARTMENT,Diesel,3537000,54880,6,In Service,In Service,0.3633,0.4629
VEH-00118,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2014,WATER DEPARTMENT,Diesel,1660000,88578,10,In Service,In Service,0.4427,0.5305
VEH-00119,Garbage Truck,Ashok Leyland,Captain 3520,2012,PUBLIC WORKS,Petrol,2869000,55246,12,In Service,Under Maintenance,0.2941,0.3762
VEH-00120,Rescue Van,Force Motors,Traveller,2013,FIRE DEPARTMENT,Electric,3828000,91379,11,Active,Active,0.4968,0.5477
VEH-00121,Prison Van,Tata,Winger,2021,POLICE DEPARTMENT,Diesel,3353000,54032,3,In Service,In Service,0.3081,0.4073
VEH-00122,Street Sweeper,Tata,LPT 1613,2020,PUBLIC WORKS,CNG,3028000,46435,4,Active,Active,0.3143,0.4167
VEH-00124,Water Tanker,Tata,TIPPER 1618,2019,WATER DEPARTMENT,Diesel,2718000,34195,5,Active,Active,0.1153,0.1651
VEH-00126,Rescue Van,Force Motors,Traveller,2017,FIRE DEPARTMENT,Diesel,5858000,77014,7,Active,Active,0.408,0.51
VEH-00127,Tipper Truck,Tata,Prima 3130.K,2012,PUBLIC WORKS,Diesel,5460000,16919,12,In Service,In Service,0.1721,0.2532
VEH-00128,Street Sweeper,Tata,LPT 1613,2013,PUBLIC WORKS,Diesel,4953000,81005,11,In Service,In Service,0.4772,0.5699
VEH-00129,Water Tanker,Tata,TIPPER 1618,2015,WATER DEPARTMENT,Petrol,4510000,115630,9,In Service,In Service,0.5444,0.644
VEH-00130,Rescue Van,Force Motors,Traveller,2014,FIRE DEPARTMENT,Diesel,3106000,78518,10,Active,Active,0.3899,0.4462
VEH-00131,Aerial Ladder Truck,Tata,LPT 2518,2012,FIRE DEPARTMENT,Diesel,2849000,40797,12,In Service,In Service,0.207,0.2624
VEH-00133,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2018,WATER DEPARTMENT,Petrol,1760000,114602,6,Active,Active,0.5952,0.6713
VEH-00135,Tipper Truck,Tata,Prima 3130.K,2023,PUBLIC WORKS,Diesel,1413000,24776,1,Active,In Service,0.1527,0.269
VEH-00137,Fire Engine,Ashok Leyland,Dost Strong,2020,FIRE DEPARTMENT,Diesel,1751000,45404,4,In Service,In Service,0.3023,0.3554
VEH-00138,Motorcycle,Royal Enfield,Bullet 350,2022,POLICE DEPARTMENT,CNG,1165000,11035,2,Active,In Service,0.0985,0.1651
VEH-00140,Garbage Truck,Ashok Leyland,Captain 3520,2012,PUBLIC WORKS,CNG,1593000,77069,12,In Service,In Service,0.433,0.4696
VEH-00141,Garbage Truck,Ashok Leyland,Captain 3520,2021,PUBLIC WORKS,Diesel,2503000,80057,3,In Service,Under Maintenance,0.4412,0.5001
VEH-00143,Rescue Van,Force Motors,Traveller,2012,FIRE DEPARTMENT,CNG,3609000,79344,12,Active,In Service,0.5,0.5651
VEH-00146,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2012,WATER DEPARTMENT,Petrol,2323000,39975,12,Active,Active,0.2768,0.3424
VEH-00147,Patrol Car,Maruti Suzuki,Swift Dzire,2013,POLICE DEPARTMENT,Diesel,2948000,116877,11,In Service,In Service,0.6727,0.7515
VEH-00148,Fire Engine,Ashok Leyland,Dost Strong,2015,FIRE DEPARTMENT,Diesel,2711000,72964,9,In Service,In Service,0.4196,0.4741
VEH-00149,Inspection Van,Maruti Suzuki,Eeco,2018,WATER DEPARTMENT,Diesel,3376000,42746,6,In Service,In Service,0.2439,0.3515
VEH-00151,Tipper Truck,Tata,Prima 3130.K,2019,PUBLIC WORKS,Diesel,1806000,75079,5,Active,Active,0.4215,0.5304
VEH-00153,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2020,WATER DEPARTMENT,Diesel,4975000,66752,4,In Service,Under Maintenance,0.3847,0.448
VEH-00154,Water Tender,Tata,ULTRA 812,2017,FIRE DEPARTMENT,Diesel,3688000,97919,7,Under Maintenance,Under Maintenance,0.5344,0.6345
VEH-00155,Tipper Truck,Tata,Prima 3130.K,2015,PUBLIC WORKS,Diesel,4755000,112050,9,In Service,In Service,0.5823,0.6566
VEH-00157,Motorcycle,Royal Enfield,Bullet 350,2015,POLICE DEPARTMENT,Diesel,2191000,90077,9,Under Maintenance,Under Maintenance,0.444,0.5337
VEH-00158,Prison Van,Tata,Winger,2018,POLICE DEPARTMENT,CNG,3455000,92201,6,Active,Active,0.5331,0.5746
VEH-00160,SUV,Toyota,Innova Crysta,2014,POLICE DEPARTMENT,Electric,4861000,117685,10,In Service,In Service,0.5776,0.6307
VEH-00162,Motorcycle,Royal Enfield,Bullet 350,2013,POLICE DEPARTMENT,Diesel,5921000,90161,11,Active,Active,0.4332,0.5129
VEH-00163,Prison Van,Tata,Winger,2012,POLICE DEPARTMENT,Petrol,5859000,63117,12,In Service,In Service,0.3715,0.4482
VEH-00164,Rescue Van,Force Motors,Traveller,2012,FIRE DEPARTMENT,CNG,1662000,103497,12,Under Maintenance,Under Maintenance,0.57,0.6088
VEH-00165,Inspection Van,Maruti Suzuki,Eeco,2014,WATER DEPARTMENT,Diesel,838000,81842,10,In Service,Under Maintenance,0.3572,0.4574
VEH-00166,Tipper Truck,Tata,Prima 3130.K,2018,PUBLIC WORKS,CNG,1409000,27716,6,Under Maintenance,Under Maintenance,0.1993,0.2411
VEH-00168,Water Tanker,Tata,TIPPER 1618,2020,WATER DEPARTMENT,Petrol,4855000,44283,4,In Service,In Service,0.22,0.2559
VEH-00169,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2013,WATER DEPARTMENT,Diesel,5199000,91957,11,Active,Active,0.4682,0.5774
VEH-00170,SUV,Toyota,Innova Crysta,2018,POLICE DEPARTMENT,Diesel,3309000,69236,6,Under Maintenance,Under Maintenance,0.401,0.4578
VEH-00171,Patrol Car,Maruti Suzuki,Swift Dzire,2012,POLICE DEPARTMENT,Diesel,5335000,81664,12,In Service,Under Maintenance,0.4636,0.5566
VEH-00172,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2013,WATER DEPARTMENT,CNG,5399000,61509,11,Active,In Service,0.3082,0.3682
VEH-00173,Fire Engine,Ashok Leyland,Dost Strong,2017,FIRE DEPARTMENT,Electric,3938000,42335,7,Active,Active,0.2612,0.356
VEH-00175,SUV,Toyota,Innova Crysta,2016,POLICE DEPARTMENT,CNG,4673000,62944,8,In Service,In Service,0.3118,0.3892
VEH-00176,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2019,WATER DEPARTMENT,Diesel,4286000,61312,5,Active,Active,0.2986,0.3931
VEH-00177,Patrol Car,Maruti Suzuki,Swift Dzire,2023,POLICE DEPARTMENT,Petrol,3233000,36149,1,In Service,In Service,0.2011,0.2431
VEH-00178,Fire Engine,Ashok Leyland,Dost Strong,2022,FIRE DEPARTMENT,Diesel,4804000,56657,2,Under Maintenance,Under Maintenance,0.3499,0.4039
VEH-00179,Garbage Truck,Ashok Leyland,Captain 3520,2013,PUBLIC WORKS,Petrol,5056000,89266,11,In Service,In Service,0.4599,0.5655
VEH-00180,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2012,WATER DEPARTMENT,Diesel,4179000,58893,12,Active,Active,0.3137,0.4148
VEH-00182,Water Tanker,Tata,TIPPER 1618,2017,WATER DEPARTMENT,Petrol,3222000,163405,7,In Service,Under Maintenance,0.9485,0.9806
VEH-00183,Dump Truck,BharatBenz,1617R,2019,PUBLIC WORKS,CNG,3070000,101703,5,In Service,In Service,0.5845,0.6273
VEH-00184,Garbage Truck,Ashok Leyland,Captain 3520,2022,PUBLIC WORKS,Petrol,5448000,82886,2,In Service,Under Maintenance,0.3989,0.4593
VEH-00186,SUV,Toyota,Innova Crysta,2013,POLICE DEPARTMENT,CNG,2749000,45402,11,In Service,In Service,0.1668,0.2252
VEH-00187,Dump Truck,BharatBenz,1617R,2019,PUBLIC WORKS,Diesel,2427000,154151,5,In Service,In Service,0.7986,0.8598
VEH-00188,Water Tender,Tata,ULTRA 812,2017,FIRE DEPARTMENT,Diesel,3902000,90615,7,Active,Active,0.4736,0.524
VEH-00189,Aerial Ladder Truck,Tata,LPT 2518,2020,FIRE DEPARTMENT,Petrol,1170000,116966,4,In Service,Under Maintenance,0.6718,0.7836
VEH-00191,Pipe Maintenance Van,Mahindra,Bolero Pik-Up,2018,WATER DEPARTMENT,Electric,4026000,76650,6,In Service,In Service,0.4267,0.471
VEH-00192,Tipper Truck,Tata,Prima 3130.K,2013,PUBLIC WORKS,CNG,2059000,23676,11,In Service,In Service,0.1596,0.242
VEH-00193,Tipper Truck,Tata,Prima 3130.K,2019,PUBLIC WORKS,Petrol,2285000,67955,5,Active,In Service,0.3965,0.4408
VEH-00194,Prison Van,Tata,Winger,2020,POLICE DEPARTMENT,CNG,5498000,46343,4,Active,Active,0.3263,0.3808
VEH-00197,Prison Van,Tata,Winger,2020,POLICE DEPARTMENT,Petrol,2328000,45145,4,In Service,In Service,0.2571,0.3261
VEH-00198,Street Sweeper,Tata,LPT 1613,2015,PUBLIC WORKS,CNG,4678000,113032,9,Active,In Service,0.6373,0.6823
VEH-00199,Garbage Truck,Ashok Leyland,Captain 3520,2023,PUBLIC WORKS,Electric,1858000,39764,1,In Service,In Service,0.2851,0.3342
VEH-00200,Patrol Car,Maruti Suzuki,Swift Dzire,2015,POLICE DEPARTMENT,Diesel,1142000,64456,9,In Service,In Service,0.375,0.4535
VEH-00201,Prison Van,Tata,Winger,2020,POLICE DEPARTMENT,CNG,2824000,112766,4,In Service,In Service,0.6386,0.7216
VEH-00202,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2019,WATER DEPARTMENT,CNG,4538000,19979,5,In Service,In Service,0.132,0.2402
VEH-00203,Inspection Van,Maruti Suzuki,Eeco,2015,WATER DEPARTMENT,Petrol,1109000,45551,9,Active,Active,0.2432,0.2974
VEH-00204,Road Roller,CASE,SV210D,2019,PUBLIC WORKS,Diesel,1693000,45082,5,In Service,In Service,0.2347,0.3198
VEH-00205,Prison Van,Tata,Winger,2019,POLICE DEPARTMENT,Petrol,4088000,81197,5,In Service,Under Maintenance,0.4264,0.4567
VEH-00206,Water Tanker,Tata,TIPPER 1618,2018,WATER DEPARTMENT,Petrol,4475000,116424,6,Under Maintenance,Under Maintenance,0.7082,0.7806
VEH-00207,Water Tanker,Tata,TIPPER 1618,2021,WATER DEPARTMENT,Petrol,811000,63397,3,In Service,In Service,0.3941,0.4599
VEH-00208,Patrol Car,Maruti Suzuki,Swift Dzire,2017,POLICE DEPARTMENT,Petrol,5670000,42141,7,Active,Active,0.262,0.3028
VEH-00209,Inspection Van,Maruti Suzuki,Eeco,2019,WATER DEPARTMENT,CNG,2773000,64425,5,Active,In Service,0.3235,0.4337
VEH-00210,Sewer Cleaning Truck,Ashok Leyland,Boss 1615,2018,WATER DEPARTMENT,Diesel,2680000,48500,6,Active,In Service,0.2593,0.2991
VEH-00211,Fire Engine,Ashok Leyland,Dost Strong,2016,FIRE DEPARTMENT,Diesel,5160000,34699,8,Active,Active,0.2009,0.2548
VEH-00212,SUV,Toyota,Innova Crysta,2023,POLICE DEPARTMENT,Petrol,1370000,42865,1,Active,Active,0.2451,0.3411
VEH-00213,SUV,Toyota,Innova Crysta,2015,POLICE DEPARTMENT,Diesel,2008000,51402,9,Active,Active,0.2301,0.2763
VEH-00215,Prison Van,Tata,Winger,2013,POLICE DEPARTMENT,Diesel,3730000,46212,11,Under Maintenance,Under Maintenance,0.2651,0.3824
VEH-00218,SUV,Toyota,Innova Crysta,2020,POLICE DEPARTMENT,Diesel,3578000,59090,4,Active,Active,0.3096,0.3523
VEH-00219,Motorcycle,Royal Enfield,Bullet 350,2015,POLICE DEPARTMENT,CNG,5167000,55673,9,Active,In Service,0.3072,0.3572
VEH-00220,Road Roller,CASE,SV210D,2015,PUBLIC WORKS,Petrol,5908000,72647,9,Under Maintenance,Under Maintenance,0.3628,0.4791
VEH-00221,SUV,Toyota,Innova Crysta,2016,POLICE DEPARTMENT,Diesel,2819000,56864,8,Under Maintenance,Under Maintenance,0.273,0.3045
VEH-00222,Fire Engine,Ashok Leyland,Dost Strong,2013,FIRE DEPARTMENT,CNG,1634000,106977,11,In Service,In Service,0.5997,0.7011
VEH-00223,Inspection Van,Maruti Suzuki,Eeco,2018,WATER DEPARTMENT,Diesel,2679000,43910,6,Under Maintenance,Under Maintenance,0.3033,0.4036
VEH-00227,Tipper Truck,Tata,Prima 3130.K,2019,PUBLIC WORKS,CNG,3640000,43111,5,Active,Active,0.2079,0.2825
